n,lstate,i,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,0.8,m1,0,init,1000000,1000000,3,6,0,1.0,2.9999999999752447e-06,0,2.4624281720025465,"['z', 'z', 'z', 'x']"
4,x,9,1.0,m1,0,init,1000000,1000000,4,8,0,1.0,4.000000000004e-06,0,2.8443505170289427,"['z', 'z', 'z', 'x']"
4,x,9,0.5,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.7345107690198347,"['z', 'z', 'z', 'x']"
4,x,3,0.8,m1,0,init,1000000,777847,4,7,0,0.777847,5.142399469248993e-06,0,10.625488157034852,"['z', 'x', 'x', 'x']"
4,x,5,0.8,m1,0,init,1000000,852566,10,18,0,0.852566,1.1729297203944e-05,0,11.752636771998368,"['z', 'z', 'x', 'x']"
4,x,3,0.5,m1,0,init,1000000,851970,0,1,0,0.85197,0.0,0,11.537848161999136,"['z', 'x', 'x', 'x']"
4,x,5,1.0,m1,0,init,1000000,821206,15,28,0,0.821206,1.826581880792766e-05,0,12.398163518984802,"['z', 'z', 'x', 'x']"
4,x,9,0.3,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,1.0559003539383411,"['z', 'z', 'z', 'x']"
4,x,5,0.5,m1,0,init,1000000,913903,2,5,0,0.913903,2.18841605725828e-06,0,7.208024101098999,"['z', 'z', 'x', 'x']"
4,x,2,0.5,m1,0,init,1000000,737430,0,0,0,0.73743,0.0,0,20.637120726983994,"['x', 'x', 'x', 'x']"
4,x,2,1.0,m1,0,init,1000000,547089,2,4,0,0.547089,3.6557123246350183e-06,0,22.28666089498438,"['x', 'x', 'x', 'x']"
4,x,2,0.8,m1,0,init,1000000,595192,2,4,0,0.595192,3.360260218521205e-06,0,26.51263354800176,"['x', 'x', 'x', 'x']"
4,x,9,0.1,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.4373632959323004,"['z', 'z', 'z', 'x']"
4,x,3,0.3,m1,0,init,1000000,917213,0,0,0,0.917213,0.0,0,3.4269304210320115,"['z', 'x', 'x', 'x']"
4,x,2,0.3,m1,0,init,1000000,853460,0,0,0,0.85346,0.0,0,8.523088003974408,"['x', 'x', 'x', 'x']"
4,x,5,0.3,m1,0,init,1000000,956472,2,3,0,0.956472,2.0910178238908728e-06,0,2.011303224950097,"['z', 'z', 'x', 'x']"
4,x,2,0.1,m1,0,init,1000000,939446,0,0,0,0.939446,0.0,0,2.4606925109401345,"['x', 'x', 'x', 'x']"
4,x,3,1.0,m1,0,init,1000000,726362,4,7,0,0.726362,5.506896010532003e-06,0,26.128957787062973,"['z', 'x', 'x', 'x']"
4,x,5,0.1,m1,0,init,1000000,988751,0,0,0,0.988751,0.0,0,1.0928554170532152,"['z', 'z', 'x', 'x']"
4,x,3,0.1,m1,0,init,1000000,972948,0,0,0,0.972948,0.0,0,1.2630654480308294,"['z', 'x', 'x', 'x']"
