n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2.0,0.1,m1,init,4467,4467000000.0,0.9357415142153571,0.00043201520517184984,0.014731634572122619,2.3937912652831303e-09,1.0469128468192241e-09,3.569952470091055e-08,4179957344.0,0.0,20.0,0.0,0.0,0.0,15329.206964365207
4,x,2.0,0.1,m1,na,4466,4466000000.0,0.9359772828034035,0.00020416310869396178,0.006961143040154488,2.3864602188577994e-09,1.0949081874079759e-09,3.7331977148762017e-08,4180074545.0,0.0,20.0,0.0,0.0,0.0,14752.116415993543
4,x,2.0,0.3,m1,init,4468,4468000000.0,0.8196852191136974,0.0008120237492352109,0.027692951308948558,7.102403786937966e-08,7.164402970756874e-09,2.4433209350553974e-07,3662353559.0,8.0,495.0,0.0,0.0,0.0,36690.75325111556
4,x,2.0,0.3,m1,na,4465,4465000000.0,0.8203695048152295,0.0005415102586056256,0.018461260425575696,7.319831158629921e-08,7.579963922453828e-09,2.5841742749106734e-07,3662949839.0,10.0,514.0,0.0,0.0,0.0,35986.13740253949
4,x,2.0,0.5,m1,init,4468,4468000000.0,0.7196541752461951,0.0008832815879089806,0.030123101730820046,3.951316350507513e-07,2.3851878814647226e-08,8.134354681905225e-07,3215414855.0,39.0,2430.0,0.0,0.0,0.0,68935.24285254627
4,x,2.0,0.5,m1,na,4466,4466000000.0,0.7198903020600089,0.0007903344754755874,0.026947235318589887,3.8246676169314227e-07,1.8431777147825207e-08,6.284496647364024e-07,3215030089.0,40.0,2370.0,0.0,0.0,0.0,68097.31689901161
4,x,2.0,0.8,m1,init,4468,4468000000.0,0.5913032694717995,0.0010699199225075522,0.036488145015932595,2.2941743101701683e-06,1.456790643296443e-07,4.968183798828097e-06,2641943008.0,196.0,11390.0,0.0,0.0,0.0,113010.34002251318
4,x,2.0,0.8,m1,na,4467,4467000000.0,0.5914604432505037,0.0010308338536708713,0.0351512341580928,1.917801757175381e-06,5.596605229443908e-08,1.9084315111502093e-06,2642053800.0,184.0,9730.0,0.0,0.0,0.0,112683.21077864873
4,x,2.0,1.0,m1,init,4468,4468000000.0,0.5177452021038496,0.001213547777234834,0.04138637513705585,5.019595709784835e-06,1.2874133263419928e-07,4.390545793082865e-06,2313285563.0,402.0,22232.0,0.0,0.0,0.0,136570.84527594305
4,x,2.0,1.0,m1,na,4467,4467000000.0,0.518115428475487,0.0011231035252275297,0.03829761203366262,4.309092297433165e-06,1.008072014435497e-07,3.43750598619322e-06,2314421619.0,394.0,19083.0,0.0,0.0,0.0,136203.9994046772
4,x,3.0,0.1,m1,init,4467,4467000000.0,0.9644351347660624,0.0004735105889714449,0.016146619098702988,1.1787678324488002e-08,2.40713819252925e-09,8.20829447492125e-08,4308131747.0,0.0,101.0,0.0,0.0,0.0,9264.825868332176
4,x,3.0,0.1,m1,na,4466,4466000000.0,0.965559395879982,0.00014292943137360234,0.004873320272229067,9.981522601734692e-09,2.256199206224199e-09,7.692734256487233e-08,4312188262.0,1.0,84.0,0.0,0.0,0.0,8808.605750141782
4,x,3.0,0.3,m1,init,4468,4468000000.0,0.8984379843330349,0.0009429238496067004,0.03215711890175392,1.397993917858595e-07,1.197825012631744e-08,4.0850171910234575e-07,4014220914.0,25.0,1052.0,0.0,0.0,0.0,22421.894542580587
4,x,3.0,0.3,m1,na,4466,4466000000.0,0.8996768419167039,0.000406784109200144,0.013869706377015867,1.2879001374721064e-07,1.0413294621277992e-08,3.550515753884156e-07,4017956776.0,21.0,991.0,0.0,0.0,0.0,21551.38915025466
4,x,3.0,0.5,m1,init,4468,4468000000.0,0.8362818831692033,0.0012033371707010096,0.041038156467537446,5.891358488067228e-07,3.044065989114553e-08,1.0381367699795876e-06,3736507454.0,156.0,3987.0,0.0,0.0,0.0,45149.681631819345
4,x,3.0,0.5,m1,na,4465,4465000000.0,0.8384368326987681,0.000648690378294845,0.022115263411820317,6.084395523107657e-07,3.46188749308524e-08,1.1802326097839514e-06,3743620458.0,173.0,4183.0,0.0,0.0,0.0,45018.03655085154
4,x,3.0,0.8,m1,init,4468,4468000000.0,0.7533357094897045,0.0013553933310830803,0.046223822342029784,2.6842179810579806e-06,9.257973424504429e-08,3.1573042968978195e-06,3365903950.0,535.0,16534.0,0.0,0.0,0.0,73687.79212807189
4,x,3.0,0.8,m1,na,4467,4467000000.0,0.755275504141482,0.0009117142729633583,0.031089279596402074,2.5642261189964674e-06,7.872996808057759e-08,2.684676617288472e-06,3373815677.0,524.0,16152.0,0.0,0.0,0.0,73379.69899486343
4,x,3.0,1.0,m1,init,4467,4467000000.0,0.7023528108350123,0.001412130006539048,0.048153358899456405,5.992897599447556e-06,2.1324640839094837e-07,7.271661100408353e-06,3137410006.0,1218.0,33784.0,0.0,0.0,0.0,94019.13610626839
4,x,3.0,1.0,m1,na,4466,4466000000.0,0.7049711701746529,0.0010475980581938446,0.035718891519264544,5.6296990073463416e-06,1.348423041240734e-07,4.597581673184277e-06,3148401246.0,1190.0,32789.0,0.0,0.0,0.0,93930.7781996195
4,x,4.0,0.1,m1,init,13,13000000.0,0.9310719230769231,0.0033071131739782567,0.006083656184969931,2.9380868336312796e-05,5.950869515809456e-06,1.0947023047370692e-05,12103935.0,7.0,697.0,0.0,0.0,0.0,449.85647211188916
4,x,4.0,0.1,m1,na,13,13000000.0,0.9375603076923077,0.0031418284450951965,0.005779603855868382,2.5653272216640407e-05,5.679458617153243e-06,1.04477445209295e-05,12188284.0,3.0,620.0,0.0,0.0,0.0,417.48021005187184
4,x,4.0,0.3,m1,init,13,13000000.0,0.8146606923076922,0.008106787372998282,0.014912978343178224,0.00029834914520107203,5.8355032976179126e-05,0.00010734799162092132,10590589.0,46.0,6224.0,0.0,0.0,0.0,806.655451495084
4,x,4.0,0.3,m1,na,13,13000000.0,0.8148549230769231,0.0070683078289055365,0.013002625667286969,0.00024993068019378735,3.290293100823926e-05,6.052714533839832e-05,10593114.0,39.0,5216.0,0.0,0.0,0.0,897.3319226941094
4,x,4.0,0.5,m1,init,13,13000000.0,0.7054966923076923,0.016647552673466,0.030624288150596576,0.0007222690970379625,0.0001236047454827095,0.00022737920802478825,9171457.0,162.0,12924.0,0.0,0.0,0.0,1125.1442828959553
4,x,4.0,0.5,m1,na,13,13000000.0,0.7089665384615385,0.014438893323484477,0.026561311346315272,0.0008200526971600285,0.0001602404435529641,0.00029477302838433933,9216565.0,177.0,14862.0,0.0,0.0,0.0,1236.7850012219278
4,x,4.0,0.8,m1,init,13,13000000.0,0.5567384615384615,0.019133753657952512,0.03519782138053288,0.0020174128364546995,0.00031582265320608617,0.0005809769235140945,7237600.0,480.0,28253.0,0.0,0.0,0.0,1452.6197135582333
4,x,4.0,0.8,m1,na,13,13000000.0,0.5873571538461538,0.012246869475662754,0.02252893666245757,0.0020709894239371823,0.00029425749371400303,0.0005413063682527349,7635643.0,477.0,30806.0,0.0,0.0,0.0,1545.0805384259438
4,x,4.0,1.0,m1,init,13,13000000.0,0.5051278461538462,0.018796627196441457,0.03457765467477071,0.0030425380792630397,0.0005778394753188026,0.0010629744169638525,6566662.0,788.0,38297.0,0.0,0.0,0.0,1709.821255764924
4,x,4.0,1.0,m1,na,13,13000000.0,0.4923814615384616,0.02204423385258878,0.040551844634606087,0.003125061245115939,0.0007794413535043406,0.0014338345746310985,6400959.0,689.0,38261.0,0.0,0.0,0.0,1817.0813095240155
4,x,5.0,0.1,m1,init,4467,4467000000.0,0.9824706798746362,0.00013335002604810252,0.004547209983366769,2.358942540849785e-08,3.4411541496237204e-09,1.1734268801588752e-07,4388696527.0,0.0,207.0,0.0,0.0,0.0,5307.814333046554
4,x,5.0,0.1,m1,na,4466,4466000000.0,0.9825014113300493,0.00013477231386574737,0.004595195286129625,2.804580565337177e-08,3.874039675367144e-09,1.320892128650367e-07,4387851303.0,5.0,236.0,0.0,0.0,0.0,5123.351380219217
4,x,5.0,0.3,m1,init,4468,4468000000.0,0.948300181736795,0.0003822676456713358,0.01303671143674435,5.126496391729081e-07,2.2063696154056596e-08,7.524519619841068e-07,4237005212.0,53.0,4236.0,0.0,0.0,0.0,12240.811018300243
4,x,5.0,0.3,m1,na,4466,4466000000.0,0.9489217693685624,0.000380991761202208,0.012990290771994838,5.047070925554769e-07,2.1749779564432718e-08,7.415802375285979e-07,4237884622.0,63.0,4148.0,0.0,0.0,0.0,11712.29812708858
4,x,5.0,0.5,m1,init,4467,4467000000.0,0.9157788336691293,0.0006157486996863424,0.020996911042588315,2.299245501436217e-06,7.305632232750635e-08,2.4912063992838234e-06,4090784050.0,317.0,18162.0,0.0,0.0,0.0,22198.00996699126
4,x,5.0,0.5,m1,na,4465,4465000000.0,0.9160183722284434,0.0006196731497604254,0.0211260030898058,2.2057585822454867e-06,7.046286169058902e-08,2.4022319417380856e-06,4090022032.0,277.0,17472.0,0.0,0.0,0.0,21987.00363924622
4,x,5.0,0.8,m1,init,4469,4469000000.0,0.8698368932647125,0.0009126111276879758,0.031126828002099188,9.718555813807247e-06,2.515381000255371e-07,8.579320301852238e-06,3887301076.0,1748.0,71990.0,0.0,0.0,0.0,37069.49202708865
4,x,5.0,0.8,m1,na,4467,4467000000.0,0.8700201849115737,0.0009475265653538771,0.03231047180994296,9.852694842523168e-06,2.545526033686857e-07,8.680194324915615e-06,3886380166.0,1689.0,73085.0,0.0,0.0,0.0,37477.84099963028
