n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,z,8,"['z', 'z', 'z', 'x']",0.8,normal,0,na,1000000,1000000,13,26,0,1.0,1.3000000000040757e-05,0,59.13484198199876
4,z,12,"['z', 'z', 'x', 'z']",0.5,normal,0,na,1000000,865796,30,57,0,0.865796,3.465019473414266e-05,0,66.03977413399843
4,z,8,"['z', 'z', 'z', 'x']",0.5,normal,0,na,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,130.37022798499675
4,z,14,"['z', 'x', 'z', 'z']",0.5,normal,0,na,1000000,882910,0,1,0,0.88291,0.0,0,65.70869274800498
4,z,12,"['z', 'z', 'x', 'z']",1,normal,0,na,1000000,749004,203,354,0,0.749004,0.00027102658997812945,0,140.8657371839945
4,z,8,"['z', 'z', 'z', 'x']",1,normal,0,na,1000000,1000000,17,34,0,1.0,1.7000000000044757e-05,0,186.73043502500514
4,z,15,"['x', 'z', 'z', 'z']",0.5,normal,0,na,1000000,765915,0,1,0,0.765915,0.0,0,111.54829682900163
4,z,12,"['z', 'z', 'x', 'z']",0.3,normal,0,na,1000000,914016,9,16,0,0.914016,9.846654763112639e-06,0,49.56294459600031
4,z,8,"['z', 'z', 'z', 'x']",0.1,normal,0,na,1000000,1000000,0,0,0,1.0,0.0,0,23.9334397279963
4,z,14,"['z', 'x', 'z', 'z']",0.3,normal,0,na,1000000,885936,0,0,0,0.885936,0.0,0,74.82830371599994
4,z,8,"['z', 'z', 'z', 'x']",0.3,normal,0,na,1000000,1000000,0,0,0,1.0,0.0,0,102.82985852500133
4,z,14,"['z', 'x', 'z', 'z']",0.8,normal,0,na,1000000,779246,0,1,0,0.779246,0.0,0,240.68079483800102
4,z,8,"['z', 'z', 'z', 'x']",1,m1,0,na,1000000,1000000,4,8,0,1.0,4.000000000004e-06,0,5.695417674003693
4,z,12,"['z', 'z', 'x', 'z']",0.8,normal,0,na,1000000,797820,100,188,0,0.79782,0.00012534155573939998,0,254.07013459000154
4,z,12,"['z', 'z', 'x', 'z']",0.1,normal,0,na,1000000,983158,0,0,0,0.983158,0.0,0,31.874841748998733
4,z,8,"['z', 'z', 'z', 'x']",0.8,m1,0,na,1000000,1000000,3,4,0,1.0,2.9999999999752447e-06,0,1.6510342580004362
4,z,14,"['z', 'x', 'z', 'z']",0.1,normal,0,na,1000000,971913,0,0,0,0.971913,0.0,0,28.627416351002466
4,z,15,"['x', 'z', 'z', 'z']",0.8,normal,0,na,1000000,635292,0,0,0,0.635292,0.0,0,273.2290621409993
4,z,14,"['z', 'x', 'z', 'z']",1,normal,0,na,1000000,755077,4,7,0,0.755077,5.297472972953798e-06,0,265.7801883889988
4,z,8,"['z', 'z', 'z', 'x']",0.5,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,3.3779848990016035
4,z,12,"['z', 'z', 'x', 'z']",1,m1,0,na,1000000,810742,11,20,0,0.810742,1.3567818122117714e-05,0,29.773268438999366
4,z,15,"['x', 'z', 'z', 'z']",0.1,normal,0,na,1000000,941252,0,0,0,0.941252,0.0,0,54.22833772600279
4,z,14,"['z', 'x', 'z', 'z']",0.8,m1,0,na,1000000,734896,0,0,0,0.734896,0.0,0,15.881184040001244
4,z,15,"['x', 'z', 'z', 'z']",1,normal,0,na,1000000,533491,2,4,0,0.533491,3.7488917339345562e-06,0,310.01223720100097
4,z,8,"['z', 'z', 'z', 'x']",0.3,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.8682250599958934
4,z,12,"['z', 'z', 'x', 'z']",0.5,m1,0,na,1000000,851535,40,75,0,0.851535,4.697399402253666e-05,0,9.601319446999696
4,z,12,"['z', 'z', 'x', 'z']",0.8,m1,0,na,1000000,789642,14,27,0,0.789642,1.772955339252036e-05,0,28.732769928996277
