n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,1,m1,na,467,467000000,0.509975835117773,0.0030345916831395546,0.03345820456653501,5.19158597100727e-06,4.0267130344435333e-07,4.439694117192005e-06,238158715,45.0,2398,0,0,0,26270.70873804226
4,x,2,1,normal,na,467,467000000,0.467778147751606,0.0031283634690527106,0.034492095093910914,5.775348410001504e-06,5.002822812292224e-07,5.515914051758886e-06,218452395,59.0,2417,0,0,0,62679.982800357015
4,x,3,1,m1,na,467,467000000,0.7022477623126339,0.003134817390097455,0.03456325346812353,5.6600484428835276e-06,4.285045607556488e-07,4.724521368430969e-06,327949705,126.0,3430,0,0,0,15765.042322083915
4,x,3,1,normal,na,467,467000000,0.6694491627408994,0.0035686069420918847,0.039346045054251974,1.0877622688183703e-05,6.116145096557206e-07,6.743419054899264e-06,312632759,413.0,5880,0,0,0,56556.33158612235
4,x,5,1,m1,na,467,467000000,0.8416974753747324,0.003447341024030769,0.03800901512828849,1.8222332544684592e-05,1.4452524256551339e-06,1.5934780147364763e-05,393072721,372.0,13530,0,0,0,8414.611921165153
4,x,5,1,normal,na,466,466000000,0.7567690193133046,0.0061368697619176345,0.06759020967173016,5.368871896927291e-05,3.728749356013412e-06,4.106767139661809e-05,352654363,1623.0,33322,0,0,0,53129.91701632865
4,x,9,1,m1,na,467,467000000,1.0,0.0,0.0,3.853319057815846e-06,3.2045109385324205e-07,3.5331666897007746e-06,467000000,43.0,3513,0,0,0,1974.942114797901
4,x,9,1,normal,na,467,467000000,1.0,0.0,0.0,5.398929336188437e-05,3.0583476952080994e-06,3.372012893543466e-05,467000000,1243.0,47940,0,0,0,48288.42239314328
4,z,2,1,m1,na,1,1000000,0.71295,0.0,,0.09850199873763939,0.0,,712950,6569.0,127316,0,0,0,479.11442429099407
4,z,2,1,normal,na,1,1000000,0.685658,0.0,,0.1040095791196194,0.0,,685658,7328.0,127974,0,0,0,484.89856787100143
4,z,3,1,m1,na,1,1000000,0.554366,0.0,,0.15948128131956144,0.0,,554366,9532.0,157758,0,0,0,408.19627790800587
4,z,3,1,normal,na,1,1000000,0.483066,0.0,,0.13222209801559207,0.0,,483066,6253.0,115238,0,0,0,462.2851677629951
4,z,5,1,m1,na,1,1000000,0.482657,0.0,,0.11703963684355558,0.0,,482657,4020.0,104940,0,0,0,361.658004419005
4,z,5,1,normal,na,1,1000000,0.483244,0.0,,0.12083233314847158,0.0,,483244,3112.0,110559,0,0,0,380.5832475229981
4,z,9,1,m1,na,1,1000000,0.515872,0.0,,0.11636995223621363,0.0,,515872,7251.0,105562,0,0,0,330.16290572599974
4,z,9,1,normal,na,1,1000000,0.446334,0.0,,0.12257412610287363,0.0,,446334,5536.0,98346,0,0,0,463.1620513819944
