n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",1.0,normal,0,100000,84732,76,147,0,0.84732,0.0008969456639758011,0,0.6885933849989669
3,x,2,"['x', 'x', 'x']",1.0,m1,0,100000,86462,82,160,0,0.86462,0.0009483935139136257,0,0.42958986700250534
3,x,2,"['x', 'x', 'x']",0.8,normal,0,100000,87652,44,88,0,0.87652,0.0005019851229863814,0,1.8911324620057712
3,x,2,"['x', 'x', 'x']",0.8,m1,0,100000,88993,52,103,0,0.88993,0.0005843156203296784,0,0.09754133200476645
3,x,2,"['x', 'x', 'x']",0.5,normal,0,100000,92150,13,26,0,0.9215,0.00014107433532284386,0,1.4612827870005276
3,x,2,"['x', 'x', 'x']",0.5,m1,0,100000,92969,21,42,0,0.92969,0.00022588174552806706,0,0.19399404599971604
3,x,2,"['x', 'x', 'x']",0.3,normal,0,100000,95161,6,11,0,0.95161,6.305103981674165e-05,0,1.1306305329999304
3,x,2,"['x', 'x', 'x']",0.3,m1,0,100000,95731,6,12,0,0.95731,6.267562231665469e-05,0,0.12818176799919456
3,x,2,"['x', 'x', 'x']",0.1,normal,0,100000,98349,0,1,0,0.98349,0.0,0,0.5309339190062019
3,x,2,"['x', 'x', 'x']",0.1,m1,0,100000,98451,2,3,0,0.98451,2.0314674304966474e-05,0,0.09035197900084313
3,x,3,"['z', 'x', 'x']",1.0,normal,0,100000,93319,247,476,0,0.93319,0.002646835049668339,0,1.6749352699989686
3,x,3,"['z', 'x', 'x']",1.0,m1,0,100000,94150,205,400,0,0.9415,0.0021773765268189305,0,0.0734858060022816
3,x,3,"['z', 'x', 'x']",0.8,normal,0,100000,94802,204,374,0,0.94802,0.002151853336427534,0,1.537370968995674
3,x,3,"['z', 'x', 'x']",0.8,m1,0,100000,95402,149,288,0,0.95402,0.0015618121213392122,0,0.06335343400132842
3,x,3,"['z', 'x', 'x']",0.5,normal,0,100000,96571,112,218,0,0.96571,0.0011597684605109126,0,1.29283830300119
3,x,3,"['z', 'x', 'x']",0.5,m1,0,100000,96943,70,139,0,0.96943,0.0007220737959419132,0,0.04616040299879387
3,x,3,"['z', 'x', 'x']",0.3,normal,0,100000,97907,62,117,0,0.97907,0.0006332540063529457,0,0.3389525579987094
3,x,3,"['z', 'x', 'x']",0.3,m1,0,100000,98284,42,83,0,0.98284,0.0004273330348785187,0,0.12140845900285058
3,x,3,"['z', 'x', 'x']",0.1,normal,0,100000,99346,14,29,0,0.99346,0.00014092162744350212,0,0.5115563640065375
3,x,3,"['z', 'x', 'x']",0.1,m1,0,100000,99450,9,18,0,0.9945,9.049773755653856e-05,0,0.10126570900320075
