n,lstate,i,p_error,sim_type,N_samples,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,detect_normal,decoding_normal
3,x,2.0,0.1,m1,1125,0.0,112500000.0,110694080.0,1.0,1880.0,0.0,0.9839473777777779,0.0001109518296722651,0.0018986926023609409,8.499088422975232e-06,4.2179957432730377e-07,7.218157049053517e-06,0.0,67.30864660495348
3,x,2.0,0.1,normal,1125,0.0,112500000.0,110361448.0,11.0,1958.0,0.0,0.9809906488888889,0.00015614687218661448,0.002672104750126846,8.968769569241446e-06,5.139025445098518e-07,8.79429354592454e-06,0.0,485.9854483749077
3,x,2.0,0.3,m1,1125,0.0,112500000.0,107168101.0,48.0,16738.0,0.0,0.9526053422222223,0.00031812753646930753,0.005444041814234044,7.848588078688623e-05,2.150096462872775e-06,3.679409578442892e-05,0.0,137.94163850506806
3,x,2.0,0.3,normal,1125,0.0,112500000.0,106214592.0,106.0,16583.0,0.0,0.9441297066666666,0.0004462085865674909,0.007635862742670988,7.901429404313774e-05,2.6995536305399785e-06,4.619682724587049e-05,0.0,1212.6516696519466
3,x,2.0,0.5,m1,1125,0.0,112500000.0,103760301.0,238.0,45149.0,0.0,0.9223137866666667,0.000514047921150098,0.008796781342225033,0.00021958590380835837,5.3944363574307985e-06,9.231372241462973e-05,0.0,211.2240228858827
3,x,2.0,0.5,normal,1125,0.0,112500000.0,102226058.0,426.0,44867.0,0.0,0.9086760711111111,0.0007165095409106995,0.012261459489822633,0.0002233728757417178,7.0593067718645034e-06,0.00012080425879525736,0.0,1622.5684278577755
3,x,2.0,0.8,m1,1125,0.0,112500000.0,98854703.0,887.0,109383.0,0.0,0.8787084711111111,0.0007752115830088067,0.013266013749129434,0.0005611133705751735,1.3202981488774367e-05,0.0002259395212849811,0.0,342.3305842969093
3,x,2.0,0.8,normal,1125,0.0,112500000.0,96533854.0,1347.0,107272.0,0.0,0.8580787022222222,0.001083115392864307,0.018535099331027916,0.0005687425672780689,1.7192778253597066e-05,0.00029421597625349353,0.0,2034.3620570741805
3,x,2.0,1.0,m1,1125,0.0,112500000.0,95722642.0,1547.0,165566.0,0.0,0.8508679288888888,0.0009423072290677985,0.016125482295038747,0.0008787555199815181,2.0345072414393596e-05,0.00034816044586025396,0.0,444.26332168599396
3,x,2.0,1.0,normal,1125,0.0,112500000.0,92924508.0,2179.0,161184.0,0.0,0.8259956266666667,0.0013013647295206118,0.02226994896986262,0.0008891749690756842,2.6851145379391327e-05,0.0004594973444544519,0.0,2363.264337653971
3,x,3.0,0.1,m1,1125,0.0,112500000.0,111798802.0,71.0,16447.0,0.0,0.9937671288888889,3.930523012150619e-05,0.000672621171604287,7.418316753760847e-05,4.008725536624574e-06,6.860037859463167e-05,0.0,90.95159264393801
3,x,3.0,0.1,normal,1125,0.0,112500000.0,111728657.0,132.0,44304.0,0.0,0.9931436177777777,2.0415591127565148e-05,0.0003493672160363055,0.00019944892954412407,1.9481656011581015e-06,3.333850037461422e-05,0.0,488.49721684502583
3,x,3.0,0.3,m1,1125,0.0,112500000.0,110408944.0,487.0,59283.0,0.0,0.9814128355555555,0.00010830842155189716,0.001853456580043969,0.000272798867767708,1.1692061771827297e-05,0.00020008350703264646,0.0,128.97385280593875
