n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.5,m2,0,50000,401,0,0,47349,0.15126367408525085,0.0,0,0.8486318141222
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.8,m2,0,50000,16812,0,0,22545,0.6123474776907667,0.0,0,9.760773262009025
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.1,m2,0,50000,43128,0,0,3859,0.934700158210702,0.0,0,12.222621591994539
5,x,5,"['z', 'z', 'x', 'x', 'x']",1,m2,0,50000,9533,0,0,28079,0.4348797956297614,0.0,0,6.463261946802959
5,x,2,"['x', 'x', 'x', 'x', 'x']",1,m2,0,50000,0,0,0,48513,0.0,1,0,0.24288383196108043
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.3,m2,0,50000,3499,0,0,30106,0.17588217553031066,0.0,0,5.125597208039835
5,x,3,"['z', 'x', 'x', 'x', 'x']",1,m2,0,50000,2213,0,0,28827,0.10451990742927313,0.0,0,12.045476200990379
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.3,m2,0,50000,32275,0,0,10127,0.8094449878363805,0.0,0,10.412900675088167
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.8,m2,0,50000,2652,0,0,30773,0.13793103448275862,0.0,0,4.810350327985361
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.5,m2,0,50000,251,0,0,38261,0.02138171905613766,0.0,0,1.9214300999883562
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.5,m2,0,50000,14888,0,0,17220,0.45417937766931055,0.0,0,7.46631107898429
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.8,m2,0,50000,0,0,0,48195,0.0,1,0,0.2256037718616426
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.1,m2,0,50000,806,0,0,28812,0.03804040022654333,0.0,0,3.092177619924769
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.1,m2,0,50000,34086,0,0,6312,0.7802142464750046,0.0,0,7.7982787129003555
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.3,m2,0,50000,10911,0,0,20328,0.36772040981396603,0.0,0,4.523777919821441
