n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,z,15,1.0,normal,0,100000,37986,3,6,0,0.37986,7.897646501342503e-05,0,9.297517700993922,"['x', 'z', 'z', 'z']"
4,z,15,0.8,normal,0,100000,46239,2,4,0,0.46239,4.325353056944259e-05,0,9.667426762985995,"['x', 'z', 'z', 'z']"
4,z,8,0.5,normal,0,100000,100000,42,78,0,1.0,0.0004199999999999,0,12.195469828962814,"['z', 'z', 'z', 'x']"
4,z,8,0.8,normal,0,100000,100000,300,520,0,1.0,0.003,0,12.977096035028808,"['z', 'z', 'z', 'x']"
4,z,12,0.5,normal,0,100000,73193,2,5,0,0.73193,2.732501741964377e-05,0,11.992024846957063,"['z', 'z', 'x', 'z']"
4,z,12,0.8,normal,0,100000,61372,32,59,0,0.61372,0.000521410415173,0,12.898774221015628,"['z', 'z', 'x', 'z']"
4,z,12,1.0,normal,0,100000,54691,62,117,0,0.54691,0.0011336417326434,0,14.443890061986169,"['z', 'z', 'x', 'z']"
4,z,14,1.0,normal,0,100000,59924,8,14,0,0.59924,0.0001335024364195,0,16.017581320018508,"['z', 'x', 'z', 'z']"
4,z,14,0.8,normal,0,100000,66386,4,7,0,0.66386,6.025366794204512e-05,0,13.964411691005807,"['z', 'x', 'z', 'z']"
4,z,8,1.0,normal,0,100000,100000,645,1122,0,1.0,0.0064499999999999,0,16.00887642399175,"['z', 'z', 'z', 'x']"
4,z,15,0.5,normal,0,100000,61751,0,1,0,0.61751,0.0,0,9.473062645003663,"['x', 'z', 'z', 'z']"
4,z,14,0.5,normal,0,100000,77517,3,6,0,0.77517,3.87011881264332e-05,0,11.44527356995968,"['z', 'x', 'z', 'z']"
4,z,8,1.0,m1,0,100000,100000,108,187,0,1.0,0.0010799999999999,0,1.9796743849874476,"['z', 'z', 'z', 'x']"
4,z,8,0.3,normal,0,100000,100000,8,15,0,1.0,7.999999999996898e-05,0,10.92612352897413,"['z', 'z', 'z', 'x']"
4,z,8,0.1,normal,0,100000,100000,0,0,0,1.0,0.0,0,9.072224144998472,"['z', 'z', 'z', 'x']"
4,z,15,0.3,normal,0,100000,75037,0,1,0,0.75037,0.0,0,10.52843370102346,"['x', 'z', 'z', 'z']"
4,z,15,0.1,normal,0,100000,90861,0,0,0,0.90861,0.0,0,8.345335928024724,"['x', 'z', 'z', 'z']"
4,z,12,0.3,normal,0,100000,82891,2,2,0,0.82891,2.412807180518506e-05,0,11.45232316001784,"['z', 'z', 'x', 'z']"
4,z,14,0.3,normal,0,100000,85664,0,0,0,0.85664,0.0,0,10.528228120994754,"['z', 'x', 'z', 'z']"
4,z,12,0.1,normal,0,100000,93746,0,0,0,0.93746,0.0,0,9.01677487703273,"['z', 'z', 'x', 'z']"
4,z,8,0.8,m1,0,100000,100000,60,104,0,1.0,0.0006,0,1.0999925790238194,"['z', 'z', 'z', 'x']"
4,z,8,0.5,m1,0,100000,100000,10,20,0,1.0,9.9999999999989e-05,0,0.7602014180156402,"['z', 'z', 'z', 'x']"
4,z,15,1.0,m1,0,100000,37601,4,6,0,0.37601,0.000106380149464,0,4.441827430971898,"['x', 'z', 'z', 'z']"
4,z,14,0.1,normal,0,100000,94965,0,0,0,0.94965,0.0,0,9.51215395401232,"['z', 'x', 'z', 'z']"
4,z,14,1.0,m1,0,100000,55177,4,8,0,0.55177,7.24939739383812e-05,0,4.052446932008024,"['z', 'x', 'z', 'z']"
4,z,12,1.0,m1,0,100000,59289,50,91,0,0.59289,0.0008433267553846,0,4.463025381963234,"['z', 'z', 'x', 'z']"
4,z,8,0.3,m1,0,100000,100000,1,2,0,1.0,9.99999999995449e-06,0,0.5869722240022384,"['z', 'z', 'z', 'x']"
4,z,14,0.8,m1,0,100000,62074,2,3,0,0.62074,3.221960885391173e-05,0,3.389785103034228,"['z', 'x', 'z', 'z']"
4,z,15,0.8,m1,0,100000,45853,1,2,0,0.45853,2.1808823850166803e-05,0,3.7466523770126514,"['x', 'z', 'z', 'z']"
4,z,12,0.8,m1,0,100000,66019,26,45,0,0.66019,0.0003938260197822,0,3.397732887999154,"['z', 'z', 'x', 'z']"
4,z,15,0.5,m1,0,100000,61702,0,1,0,0.61702,0.0,0,2.575696057989262,"['x', 'z', 'z', 'z']"
4,z,14,0.5,m1,0,100000,73887,2,3,0,0.73887,2.706836114607647e-05,0,2.3161569299991243,"['z', 'x', 'z', 'z']"
4,z,8,0.1,m1,0,100000,100000,0,0,0,1.0,0.0,0,0.3063741489895619,"['z', 'z', 'z', 'x']"
4,z,12,0.5,m1,0,100000,76668,4,8,0,0.76668,5.217300568682859e-05,0,2.1937523370143026,"['z', 'z', 'x', 'z']"
4,z,14,0.3,m1,0,100000,83698,0,0,0,0.83698,0.0,0,1.5255025160149671,"['z', 'x', 'z', 'z']"
4,z,15,0.3,m1,0,100000,74769,0,0,0,0.74769,0.0,0,1.6537870269967243,"['x', 'z', 'z', 'z']"
4,z,12,0.3,m1,0,100000,85237,0,0,0,0.85237,0.0,0,1.2750487530138344,"['z', 'z', 'x', 'z']"
4,z,15,0.1,m1,0,100000,90635,0,0,0,0.90635,0.0,0,0.6987766459933482,"['x', 'z', 'z', 'z']"
4,z,14,0.1,m1,0,100000,94175,0,0,0,0.94175,0.0,0,0.592506822955329,"['z', 'x', 'z', 'z']"
4,z,12,0.1,m1,0,100000,94902,0,0,0,0.94902,0.0,0,0.5244296839809977,"['z', 'z', 'x', 'z']"
