n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,2,x,1,normal,0,100000,29656,4,7,0,0.29656,0.00013487995683836296,0,9.297070052009076
4,x,2,x,1,normal,0,100000,29656,4,7,0,0.29656,0.00013487995683836296,0,9.297070052009076
4,x,2,x,1,normal,0,100000,29656,4,7,0,0.29656,0.00013487995683836296,0,9.297070052009076
4,x,2,x,1,normal,0,100000,29656,4,7,0,0.29656,0.00013487995683836296,0,9.297070052009076
4,x,2,x,0.8,normal,0,100000,37502,2,3,0,0.37502,5.333048904054838e-05,0,9.661426304024644
4,x,2,x,0.8,normal,0,100000,37502,2,3,0,0.37502,5.333048904054838e-05,0,9.661426304024644
4,x,2,x,0.8,normal,0,100000,37502,2,3,0,0.37502,5.333048904054838e-05,0,9.661426304024644
4,x,2,x,0.8,normal,0,100000,37502,2,3,0,0.37502,5.333048904054838e-05,0,9.661426304024644
4,x,2,x,0.5,normal,0,100000,54284,0,1,0,0.54284,0.0,0,9.792169021035079
4,x,2,x,0.5,normal,0,100000,54284,0,1,0,0.54284,0.0,0,9.792169021035079
4,x,2,x,0.5,normal,0,100000,54284,0,1,0,0.54284,0.0,0,9.792169021035079
4,x,2,x,0.5,normal,0,100000,54284,0,1,0,0.54284,0.0,0,9.792169021035079
4,x,3,z,1,normal,0,100000,47900,8,11,0,0.479,0.0001670146137786599,0,12.092581280972809
4,x,3,x,1,normal,0,100000,47900,8,11,0,0.479,0.0001670146137786599,0,12.092581280972809
4,x,3,x,1,normal,0,100000,47900,8,11,0,0.479,0.0001670146137786599,0,12.092581280972809
4,x,3,x,1,normal,0,100000,47900,8,11,0,0.479,0.0001670146137786599,0,12.092581280972809
4,x,3,z,0.5,normal,0,100000,68915,0,1,0,0.68915,0.0,0,11.769766682002228
4,x,3,x,0.5,normal,0,100000,68915,0,1,0,0.68915,0.0,0,11.769766682002228
4,x,3,x,0.5,normal,0,100000,68915,0,1,0,0.68915,0.0,0,11.769766682002228
4,x,3,x,0.5,normal,0,100000,68915,0,1,0,0.68915,0.0,0,11.769766682002228
4,x,3,z,0.8,normal,0,100000,55303,4,5,0,0.55303,7.232880675556164e-05,0,12.696980278007686
4,x,3,x,0.8,normal,0,100000,55303,4,5,0,0.55303,7.232880675556164e-05,0,12.696980278007686
4,x,3,x,0.8,normal,0,100000,55303,4,5,0,0.55303,7.232880675556164e-05,0,12.696980278007686
4,x,3,x,0.8,normal,0,100000,55303,4,5,0,0.55303,7.232880675556164e-05,0,12.696980278007686
4,x,9,z,1,normal,0,100000,100000,2365,3562,0,1.0,0.02364999999999995,0,15.098042345023714
4,x,9,z,1,normal,0,100000,100000,2365,3562,0,1.0,0.02364999999999995,0,15.098042345023714
4,x,9,z,1,normal,0,100000,100000,2365,3562,0,1.0,0.02364999999999995,0,15.098042345023714
4,x,9,x,1,normal,0,100000,100000,2365,3562,0,1.0,0.02364999999999995,0,15.098042345023714
4,x,5,z,1,normal,0,100000,36134,210,334,0,0.36134,0.00581170089112748,0,14.951818116009235
4,x,5,z,1,normal,0,100000,36134,210,334,0,0.36134,0.00581170089112748,0,14.951818116009235
4,x,5,x,1,normal,0,100000,36134,210,334,0,0.36134,0.00581170089112748,0,14.951818116009235
4,x,5,x,1,normal,0,100000,36134,210,334,0,0.36134,0.00581170089112748,0,14.951818116009235
4,x,9,z,0.8,normal,0,100000,100000,1124,1816,0,1.0,0.011240000000000028,0,16.34572665701853
4,x,9,z,0.8,normal,0,100000,100000,1124,1816,0,1.0,0.011240000000000028,0,16.34572665701853
4,x,9,z,0.8,normal,0,100000,100000,1124,1816,0,1.0,0.011240000000000028,0,16.34572665701853
4,x,9,x,0.8,normal,0,100000,100000,1124,1816,0,1.0,0.011240000000000028,0,16.34572665701853
4,x,5,z,0.8,normal,0,100000,42939,124,211,0,0.42939,0.002887817601714082,0,17.49607279599877
4,x,5,z,0.8,normal,0,100000,42939,124,211,0,0.42939,0.002887817601714082,0,17.49607279599877
4,x,5,x,0.8,normal,0,100000,42939,124,211,0,0.42939,0.002887817601714082,0,17.49607279599877
4,x,5,x,0.8,normal,0,100000,42939,124,211,0,0.42939,0.002887817601714082,0,17.49607279599877
4,x,3,z,0.3,normal,0,100000,80053,0,0,0,0.80053,0.0,0,11.681429193995427
4,x,3,x,0.3,normal,0,100000,80053,0,0,0,0.80053,0.0,0,11.681429193995427
4,x,3,x,0.3,normal,0,100000,80053,0,0,0,0.80053,0.0,0,11.681429193995427
4,x,3,x,0.3,normal,0,100000,80053,0,0,0,0.80053,0.0,0,11.681429193995427
4,x,9,z,0.5,normal,0,100000,100000,239,404,0,1.0,0.0023900000000000032,0,13.977773099963088
4,x,9,z,0.5,normal,0,100000,100000,239,404,0,1.0,0.0023900000000000032,0,13.977773099963088
4,x,9,z,0.5,normal,0,100000,100000,239,404,0,1.0,0.0023900000000000032,0,13.977773099963088
4,x,9,x,0.5,normal,0,100000,100000,239,404,0,1.0,0.0023900000000000032,0,13.977773099963088
4,x,5,z,0.5,normal,0,100000,57704,28,54,0,0.57704,0.00048523499237485,0,13.876406475959811
4,x,5,z,0.5,normal,0,100000,57704,28,54,0,0.57704,0.00048523499237485,0,13.876406475959811
4,x,5,x,0.5,normal,0,100000,57704,28,54,0,0.57704,0.00048523499237485,0,13.876406475959811
4,x,5,x,0.5,normal,0,100000,57704,28,54,0,0.57704,0.00048523499237485,0,13.876406475959811
4,x,9,z,0.3,normal,0,100000,100000,32,58,0,1.0,0.00031999999999998696,0,12.124256487004459
4,x,9,z,0.3,normal,0,100000,100000,32,58,0,1.0,0.00031999999999998696,0,12.124256487004459
4,x,9,z,0.3,normal,0,100000,100000,32,58,0,1.0,0.00031999999999998696,0,12.124256487004459
4,x,9,x,0.3,normal,0,100000,100000,32,58,0,1.0,0.00031999999999998696,0,12.124256487004459
4,x,2,x,0.1,normal,0,100000,88555,0,0,0,0.88555,0.0,0,8.827614122012164
