n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.1,m1,init,246,490000000,0.890677469387755,0.002100466410889293,0.016808432839697282,6.901541168426837e-09,7.747006590200325e-09,6.199339313640542e-08,436431960,0.0,6,0,0,0,5540.610436567775
4,x,2,0.1,m1,na,246,490000000,0.8912460530612245,0.0019972408483097405,0.015982397285420658,1.1582013804455853e-08,1.0030618413460647e-08,8.026739921630214e-08,436710566,0.0,10,0,0,0,5527.828141026024
4,x,2,0.3,m1,init,246,490000000,0.7075178571428572,0.004524411232652724,0.03620541702022175,5.540105431281946e-07,9.540190214064127e-08,7.634287587733571e-07,346683750,0.0,382,0,0,0,16003.118964355672
4,x,2,0.3,m1,na,246,490000000,0.7113802244897959,0.00446457883202101,0.035726623890066325,6.846254072942773e-07,1.1339453029809308e-07,9.074100576059976e-07,348576310,-105.0,462,0,0,0,16008.981603215798
4,x,2,0.5,m1,init,247,492000000,0.5635281829268294,0.006490565164242831,0.0520445094962217,4.450936603437204e-06,4.88158703429919e-07,3.914293999586626e-06,277255866,-559.0,2402,0,0,0,31596.040410594025
4,x,2,0.5,m1,na,247,492000000,0.562316406504065,0.00603250455593408,0.04837155666765998,4.27989196206222e-06,5.021131923901056e-07,4.026187881679414e-06,276659672,-547.0,2322,0,0,0,31551.403757223714
4,x,2,0.8,m1,init,247,492000000,0.3927251869918699,0.00701888712844086,0.05628085206223527,2.81321757462861e-05,3.1396801438969895e-06,2.51754830171569e-05,193220792,-2360.0,10408,0,0,0,50838.60634371807
4,x,2,0.8,m1,na,247,492000000,0.4007392642276423,0.0064516890623421835,0.05173278199586613,2.952204380599786e-05,3.8082131089068342e-06,3.0536105607878705e-05,197163718,-2556.0,11186,0,0,0,51589.04067427016
4,x,2,1.0,m1,init,305,608000000,0.3367293256578947,0.0058675142360727,0.05228149529755775,6.440812736891576e-05,6.020434081165806e-06,5.364406176786761e-05,204731430,-5669.0,25108,0,0,0,44260.981879284125
4,x,2,1.0,m1,na,305,608000000,0.3375586677631579,0.006006226816102918,0.053517470330388,5.873265623977789e-05,6.614998604174238e-06,5.894182860116393e-05,205235670,-5244.0,23262,0,0,0,44272.90521647612
4,x,3,0.1,m1,init,246,490000000,0.9402911224489796,0.0011201958076083906,0.00896407383706955,1.739228604929863e-08,1.3270942343702766e-08,1.0619724359656974e-07,460742650,0.0,16,0,0,0,3475.835054582334
4,x,3,0.1,m1,na,246,490000000,0.9415283755102041,0.0011604393088917118,0.009286111925871261,3.4617956267024376e-08,2.1104118590420348e-08,1.688801868618805e-07,461348904,0.0,32,0,0,0,2955.6556396876986
4,x,3,0.3,m1,init,246,490000000,0.8300571020408164,0.0033930873715841566,0.027152293847132233,8.897786108940394e-07,1.0953402335818669e-07,8.765173609695733e-07,406727980,-161.0,698,0,0,0,11209.150005138305
4,x,3,0.3,m1,na,246,490000000,0.8354185346938776,0.0028175795577479426,0.022546943155762927,1.0338202424358883e-06,1.2665082417054583e-07,1.0134900806443457e-06,409355082,-196.0,830,0,0,0,10536.311795737827
4,x,3,0.5,m1,init,247,492000000,0.7371079959349593,0.004305677534132382,0.03452501741255724,6.204901081185826e-06,5.632974827804927e-07,4.516793291480205e-06,362657134,-983.0,4338,0,0,0,15948.430918585975
4,x,3,0.5,m1,na,247,492000000,0.7340498536585366,0.0047356926566854765,0.03797308789069167,6.412695584691002e-06,5.740938316127767e-07,4.603363669422303e-06,361152528,-1064.0,4542,0,0,0,15116.50622074405
4,x,3,0.8,m1,init,247,492000000,0.6140223658536584,0.005851200991457463,0.04691777647374324,4.007155647818592e-05,3.980756375645361e-06,3.1919641472175044e-05,302099004,-5263.0,23190,0,0,0,35415.397430823854
4,x,3,0.8,m1,na,247,492000000,0.6141184756097562,0.005619464899565999,0.04505960373687503,3.8381515993761354e-05,3.0931452861048235e-06,2.4802343885666146e-05,302146290,-4944.0,22256,0,0,0,35993.70011576827
4,x,3,1.0,m1,init,305,608000000,0.5506060328947369,0.005328321713602949,0.047477111329526867,7.873434746594533e-05,5.882618887043251e-06,5.241608274070925e-05,334768468,-11277.0,50636,0,0,0,33593.573254392126
4,x,3,1.0,m1,na,305,608000000,0.5518194013157894,0.0052634266807665454,0.046898875092243844,7.726497646100973e-05,5.297854855196939e-06,4.720564152981297e-05,335506196,-11245.0,50046,0,0,0,34607.06101461981
4,x,4,1.0,m1,init,17,32000000,0.359594875,0.024063623179176947,0.050620846991228576,0.01107349576131205,0.00253873178255652,0.005340540456425071,11507036,-57913.0,258756,0,0,0,10940.254404584004
4,x,4,1.0,m1,na,17,32000000,0.3557570625,0.027737625873217875,0.058349572081195206,0.014015661284071678,0.004241884956021489,0.00892333659458935,11384226,-71177.0,323982,0,0,0,12525.904059724011
4,x,5,0.1,m1,init,246,490000000,0.9487005714285714,0.004616360983761922,0.0369412208436647,6.821456794465899e-07,3.7434053184114694e-07,2.9955621551522684e-06,464863280,-137.0,590,0,0,0,1746.1164978517045
4,x,5,0.1,m1,na,246,490000000,0.947477306122449,0.0052183010547553225,0.041758088756601995,8.807232588239976e-07,4.877550515731895e-07,3.903132172972961e-06,464263880,-177.0,724,0,0,0,1424.4771660543338
4,x,5,0.3,m1,init,246,490000000,0.8589474612244897,0.00953342174475708,0.07628871297276116,2.8990426074960536e-05,1.3568383150581601e-05,0.00010857743582449096,420884256,-3936.0,18062,0,0,0,8135.923145152134
4,x,5,0.3,m1,na,246,490000000,0.8680008489795918,0.00821860793643376,0.06576725950921708,1.8966813370004508e-05,7.757867546541011e-06,6.208030509761598e-05,425320416,-3044.0,13656,0,0,0,7711.938794236223
4,x,5,0.5,m1,init,247,492000000,0.7801404959349594,0.013688708207764619,0.10976272270322743,0.00015428959388421546,5.402747387015523e-05,0.00043321857276510116,383829124,-16848.0,80370,0,0,0,13251.98651055593
4,x,5,0.5,m1,na,246,490000000,0.7807244857142857,0.011725965062631679,0.09383396716752802,0.00010456055608568129,2.384225746743785e-05,0.00019079142675675095,382554998,-13430.0,62310,0,0,0,13632.099200660014
4,x,5,0.8,m1,init,246,490000000,0.6866106653061225,0.013882523748146587,0.11109126375766791,0.0006756725794313114,0.00020062058211089704,0.0016054137134448648,336439226,-58458.0,307002,0,0,0,27669.027560016315
4,x,5,0.8,m1,na,247,492000000,0.6853940731707318,0.013620878055155172,0.1092188275365845,0.0007443918287636574,0.0002234738087756914,0.001791921730800478,337213884,-64174.0,343920,0,0,0,28366.185066405975
4,x,5,1.0,m1,init,306,610000000,0.6363235967213114,0.01393405898623925,0.12436045048270092,0.0017890029805756544,0.000590080852803518,0.005266428163418272,388157394,-133174.0,787706,0,0,0,27080.302588850063
4,x,5,1.0,m1,na,305,608000000,0.6491397697368422,0.013469744489149211,0.120019884884014,0.0013717886001453582,0.0003381365402839865,0.0030129085724421314,394676980,-123757.0,699716,0,0,0,26924.649063485907
4,x,6,1.0,m1,init,17,32000000,0.3313961875,0.022589889526759326,0.04752066356625655,0.01903427010940762,0.004274513122841121,0.00899197403242997,10604678,-80135.0,388130,0,0,0,13406.425998156012
4,x,6,1.0,m1,na,17,32000000,0.3481180625,0.03266212407619809,0.06870887118530325,0.02091752830264183,0.00380525213284639,0.008004824732567629,11139778,-91643.0,447964,0,0,0,13423.223528848008
4,x,7,1.0,m1,init,17,32000000,0.580601875,0.020501336036961644,0.04312712956462991,0.03049471890038146,0.004189597239488429,0.008813342830207634,18579260,-203603.0,1072260,0,0,0,10073.248849151996
4,x,7,1.0,m1,na,17,32000000,0.5715464375,0.023075458988454516,0.04854211978010532,0.0296701923651166,0.004943799451129568,0.010399901698407054,18289486,-194075.0,1024278,0,0,0,10380.976978169989
4,x,8,1.0,m1,init,17,32000000,0.38464412499999995,0.016729875058145632,0.035193388759245325,0.22400062174818547,0.030042217326256154,0.06319756901220158,12308612,-1148996.0,5411888,0,0,0,11965.672990648007
4,x,8,1.0,m1,na,17,32000000,0.3584665,0.02631698981437255,0.05536108609845007,0.22390802470364568,0.027450805696394548,0.05774620989517433,11470928,-1077454.0,5049784,0,0,0,12788.890271569986
4,x,9,0.1,m1,init,246,490000000,1.0,0.0,0.0,1.2857142857142858e-07,3.1126283563176706e-08,2.4907993963089565e-07,490000000,0.0,126,0,0,0,783.4714423519617
4,x,9,0.1,m1,na,246,490000000,1.0,0.0,0.0,1.2857142857142858e-07,3.1126283563176706e-08,2.4907993963089565e-07,490000000,0.0,126,0,0,0,635.8382684279932
4,x,9,0.3,m1,init,246,490000000,1.0,0.0,0.0,7.722432387589182e-06,3.798231523667714e-07,3.0394353913119875e-06,490000000,-1738.0,7382,0,0,0,1855.1979978000456
4,x,9,0.3,m1,na,246,490000000,1.0,0.0,0.0,7.468209722913556e-06,3.658244252096609e-07,2.9274142401801695e-06,490000000,-1705.0,7172,0,0,0,2000.102544824098
4,x,9,0.5,m1,init,247,492000000,1.0,0.0,0.0,5.5527393765840496e-05,1.9358669258053087e-06,1.5522722914569063e-05,492000000,-11672.0,52130,0,0,0,2460.513277631777
