n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,z,8,"['z', 'z', 'z', 'x']",0.8,m1,0,na,1000000,1000000,434,809,0,1.0,0.00043400000000004546,0,4.68920910799352
4,z,8,"['z', 'z', 'z', 'x']",1,m1,0,na,1000000,1000000,950,1714,0,1.0,0.0009500000000000064,0,15.217576484006713
4,z,14,"['z', 'x', 'z', 'z']",0.8,m1,0,na,1000000,673593,28,51,0,0.673593,4.156812793476572e-05,0,33.141462058003526
4,z,12,"['z', 'z', 'x', 'z']",0.8,m1,0,na,1000000,723449,120,221,0,0.723449,0.00016587209326435204,0,41.27851729199756
4,z,12,"['z', 'z', 'x', 'z']",1,m1,0,na,1000000,558669,248,454,0,0.558669,0.0004439122270969431,0,79.56448347399419
4,z,8,"['z', 'z', 'z', 'x']",0.5,m1,0,na,1000000,1000000,68,131,0,1.0,6.799999999995698e-05,0,8.979768705001334
4,z,14,"['z', 'x', 'z', 'z']",1,m1,0,na,1000000,610830,54,108,0,0.61083,8.840430234269281e-05,0,101.40306644700468
4,z,12,"['z', 'z', 'x', 'z']",0.5,m1,0,na,1000000,856753,28,53,0,0.856753,3.268153131652518e-05,0,16.333836029996746
4,z,14,"['z', 'x', 'z', 'z']",0.5,m1,0,na,1000000,756155,0,1,0,0.756155,0.0,0,18.058921799005475
4,z,8,"['z', 'z', 'z', 'x']",0.3,m1,0,na,1000000,1000000,6,13,0,1.0,5.999999999950489e-06,0,2.2596411090053152
4,z,12,"['z', 'z', 'x', 'z']",0.3,m1,0,na,1000000,897264,2,4,0,0.897264,2.2289983773182698e-06,0,6.756423211991205
4,z,15,"['x', 'z', 'z', 'z']",1,m1,0,na,1000000,318736,20,37,0,0.318736,6.274785402338168e-05,0,158.53709499299293
4,z,8,"['z', 'z', 'z', 'x']",0.1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.03498050601047
4,z,14,"['z', 'x', 'z', 'z']",0.3,m1,0,na,1000000,844014,1,2,0,0.844014,1.1848144698678453e-06,0,16.257398762987577
4,z,15,"['x', 'z', 'z', 'z']",0.3,m1,0,na,1000000,701326,0,1,0,0.701326,0.0,0,19.74122416099999
4,z,15,"['x', 'z', 'z', 'z']",0.5,m1,0,na,1000000,539946,4,8,0,0.539946,7.408148222198818e-06,0,77.33124845600105
4,z,12,"['z', 'z', 'x', 'z']",0.1,m1,0,na,1000000,863404,0,0,0,0.863404,0.0,0,5.884210153992171
4,z,15,"['x', 'z', 'z', 'z']",0.8,m1,0,na,1000000,471601,18,35,0,0.471601,3.8167857998594457e-05,0,122.3324174599984
4,z,14,"['z', 'x', 'z', 'z']",0.1,m1,0,na,1000000,953714,0,0,0,0.953714,0.0,0,5.985672686001635
4,z,15,"['x', 'z', 'z', 'z']",0.1,m1,0,na,1000000,914037,0,0,0,0.914037,0.0,0,6.197752873005811
