n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.1,m1,na,245,245000000,0.8912460530612244,0.002005409556627783,0.016015114611955133,1.15825557764908e-08,1.007164355238564e-08,8.043171295814914e-08,218355283,0.0,5,0,0,0,2763.914070513012
4,x,2,0.3,m1,na,245,245000000,0.7113802244897959,0.004482838944351751,0.03579975932769254,6.872909928949773e-07,1.1373739897964106e-07,9.083019846517594e-07,174288155,5.0,231,0,0,0,8004.490801607899
4,x,2,0.5,m1,na,246,246000000,0.562316406504065,0.006057076977636772,0.04847017360319516,4.29680501831424e-06,5.030585407230531e-07,4.025594340544406e-06,138329836,17.0,1161,0,0,0,15775.701878611857
4,x,2,0.8,m1,na,246,246000000,0.4007392642276423,0.006477968963644299,0.05183825158954063,2.9637083275023675e-05,3.817017117098386e-06,3.054468070906213e-05,98581859,120.0,5593,0,0,0,25794.52033713508
4,x,2,1.0,m1,na,304,304000000,0.3375586677631579,0.006026016743914314,0.05360571024246228,5.8916703900281036e-05,6.626918744682353e-06,5.895116145944041e-05,102617835,286.0,11631,0,0,0,22136.45260823806
4,x,3,0.1,m1,na,245,245000000,0.9415283755102041,0.0011651855017422881,0.009305121386760559,3.461769931140402e-08,2.1190434358080054e-08,1.6922589891933617e-07,230674452,0.0,16,0,0,0,1477.8278198438493
4,x,3,0.3,m1,na,245,245000000,0.8354185346938775,0.002829103448614483,0.022593098666003814,1.0379302371542675e-06,1.2691133037416852e-07,1.0135084351127665e-06,204677541,6.0,415,0,0,0,5268.155897868914
4,x,3,0.5,m1,na,246,246000000,0.7340498536585366,0.004754982726992995,0.038050505071749445,6.4379642950482485e-06,5.742832855243478e-07,4.595551723966824e-06,180576264,36.0,2271,0,0,0,7558.253110372025
4,x,3,0.8,m1,na,246,246000000,0.6141184756097562,0.00564235487171194,0.045151468467784756,3.8529197009418073e-05,3.0921161304457493e-06,2.4743850242831297e-05,151073145,310.0,11128,0,0,0,17996.850057884134
4,x,3,1.0,m1,na,304,304000000,0.5518194013157894,0.0052807691550423525,0.04697620222652304,7.75067152542596e-05,5.294011020603758e-06,4.709399805061715e-05,167753098,633.0,25023,0,0,0,17303.530507309904
4,x,4,1.0,m1,na,16,16000000,0.3557570625,0.029528957668029644,0.06026317891434621,0.014837733287458877,0.004177369463768347,0.00852524380360887,5692113,4909.0,161991,0,0,0,6262.9520298620055
4,x,5,0.1,m1,na,245,245000000,0.947477306122449,0.0052396438884291345,0.04184357111578167,8.842828811465605e-07,4.896998628540284e-07,3.910722078264042e-06,232131940,2.0,362,0,0,0,712.2385830271669
4,x,5,0.3,m1,na,245,245000000,0.8680008489795918,0.008252222015111294,0.06590189068288982,1.90406781903887e-05,7.78824068065946e-06,6.219655566815637e-05,212660208,185.0,6828,0,0,0,3855.9693971181114
4,x,5,0.5,m1,na,245,245000000,0.7807244857142858,0.011773924220098968,0.09402605327883033,0.00010496442666181702,2.3926574115083345e-05,0.00019107659353576157,191277499,1074.0,31155,0,0,0,6816.049600330007
4,x,5,0.8,m1,na,246,246000000,0.6853940731707318,0.013676360476499219,0.10944149612152183,0.0007471549451799432,0.0002243181931758935,0.0017950476452146282,168606942,10903.0,171960,0,0,0,14183.092533202987
4,x,5,1.0,m1,na,304,304000000,0.6491397697368422,0.013514125975103673,0.12021777435868364,0.0013758745646337953,0.00033915550385933387,0.0030170297295274598,197338490,25586.0,349858,0,0,0,13462.324531742954
4,x,6,1.0,m1,na,16,16000000,0.3481180625,0.034771486341418974,0.07096221702330403,0.02211071086427,0.0031956448273741476,0.006521724137498261,5569889,10174.0,223982,0,0,0,6711.611764424004
4,x,7,1.0,m1,na,16,16000000,0.5715464375,0.02456570200906593,0.05013408573278762,0.031312726113328235,0.003994214054291266,0.008151457253655646,9144743,30997.0,512139,0,0,0,5190.488489084994
4,x,8,1.0,m1,na,16,16000000,0.35846649999999997,0.02801657509300093,0.0571766838632672,0.23689433687253547,0.010944122299994592,0.022334943469376718,5735464,92496.0,2524892,0,0,0,6394.445135784993
4,x,9,0.1,m1,na,245,245000000,1.0,0.0,0.0,1.2857142857142858e-07,3.125358995772968e-08,2.49589827451387e-07,245000000,0.0,63,0,0,0,317.9191342139966
4,x,9,0.3,m1,na,245,245000000,1.0,0.0,0.0,7.49795918367347e-06,3.6262467612905883e-07,2.8959050933693604e-06,245000000,44.0,3586,0,0,0,1000.051272412049
4,x,9,0.5,m1,na,246,246000000,1.0,0.0,0.0,5.585569105691057e-05,1.958529969581175e-06,1.5672623607583414e-05,246000000,690.0,26101,0,0,0,1310.1482904198929
4,x,9,0.8,m1,na,246,246000000,1.0,0.0,0.0,0.00033012195121951223,1.0709749937138683e-05,8.570197153123415e-05,246000000,6509.0,149402,0,0,0,2630.094511951087
4,x,9,1.0,m1,na,305,305000000,1.0,0.0,0.0,0.0008080114754098361,9.211909843975662e-06,8.208116790385442e-05,305000000,24706.0,443475,0,0,0,3329.621987875022
4,x,10,1.0,m1,na,16,16000000,0.3481576875,0.024812021595496468,0.05063677876631932,0.029816444562461856,0.0041685175487144,0.008507178670845715,5570523,19083.0,295651,0,0,0,5609.539474592999
4,x,11,1.0,m1,na,16,16000000,0.537063125,0.031134844597967695,0.06354049917952591,0.02533739589251173,0.0026868060608830624,0.005483277675271556,8593010,22676.0,395082,0,0,0,7271.278821911003
4,x,12,1.0,m1,na,16,16000000,0.3464094375,0.030569323872874476,0.06238637525076424,0.22967056530469496,0.01716129308915963,0.03502304712073394,5542551,89233.0,2371670,0,0,0,6958.5006456510055
4,x,13,1.0,m1,na,16,16000000,0.5804351875,0.07132278737799436,0.14555670893468237,0.08303752690251079,0.028873739807023024,0.05892599960616944,9286963,154245.0,1021276,0,0,0,5009.166136471998
4,x,14,1.0,m1,na,16,16000000,0.3464366875,0.025287324363537752,0.05160678441538317,0.2162063545989686,0.01772663398334567,0.03617680404764423,5542987,149800.0,2095950,0,0,0,4813.382529829999
