n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,z,8,"['z', 'z', 'z', 'x']",0.8,m1,0,init,1000000,1000000,187,344,0,1.0,0.00018700000000004824,0,10.7382828300033
4,z,8,"['z', 'z', 'z', 'x']",1,m1,0,init,1000000,1000000,404,747,0,1.0,0.00040399999999995995,0,12.354847886002972
4,z,14,"['z', 'x', 'z', 'z']",0.8,m1,0,init,1000000,712076,16,33,0,0.712076,2.2469511681388887e-05,0,26.265627378001227
4,z,14,"['z', 'x', 'z', 'z']",1,m1,0,init,1000000,610782,30,57,0,0.610782,4.911736102242159e-05,0,64.53281597299792
4,z,8,"['z', 'z', 'z', 'x']",0.5,m1,0,init,1000000,1000000,29,56,0,1.0,2.8999999999945736e-05,0,2.592396687003202
4,z,12,"['z', 'z', 'x', 'z']",0.8,m1,0,init,1000000,818946,135,248,0,0.818946,0.0001648460338044,0,54.094230557006085
4,z,12,"['z', 'z', 'x', 'z']",1,m1,0,init,1000000,714916,368,681,0,0.714916,0.0005147457883163398,0,69.97868100299092
4,z,12,"['z', 'z', 'x', 'z']",0.5,m1,0,init,1000000,818349,26,45,0,0.818349,3.17712858450836e-05,0,23.906838230002904
4,z,8,"['z', 'z', 'z', 'x']",0.3,m1,0,init,1000000,1000000,4,7,0,1.0,4.000000000004e-06,0,4.86653921699326
4,z,15,"['x', 'z', 'z', 'z']",1,m1,0,init,1000000,436812,20,41,0,0.436812,4.578628792251127e-05,0,120.20091574899561
4,z,15,"['x', 'z', 'z', 'z']",0.8,m1,0,init,1000000,515754,7,14,0,0.515754,1.3572362017599815e-05,0,72.24906893499428
4,z,14,"['z', 'x', 'z', 'z']",0.5,m1,0,init,1000000,746295,2,4,0,0.746295,2.679905399372018e-06,0,42.25580473699665
4,z,15,"['x', 'z', 'z', 'z']",0.5,m1,0,init,1000000,664659,1,2,0,0.664659,1.5045308947581049e-06,0,36.451537204993656
4,z,12,"['z', 'z', 'x', 'z']",0.3,m1,0,init,1000000,902541,0,0,0,0.902541,0.0,0,16.53103398399253
4,z,8,"['z', 'z', 'z', 'x']",0.1,m1,0,init,1000000,1000000,0,1,0,1.0,0.0,0,1.0840776529948926
4,z,14,"['z', 'x', 'z', 'z']",0.3,m1,0,init,1000000,854374,0,0,0,0.854374,0.0,0,11.954557888006093
4,z,14,"['z', 'x', 'z', 'z']",0.1,m1,0,init,1000000,943971,0,0,0,0.943971,0.0,0,8.686672102994635
4,z,12,"['z', 'z', 'x', 'z']",0.1,m1,0,init,1000000,969109,0,0,0,0.969109,0.0,0,5.544566633994691
4,z,15,"['x', 'z', 'z', 'z']",0.1,m1,0,init,1000000,905468,0,0,0,0.905468,0.0,0,5.706577839999227
4,z,15,"['x', 'z', 'z', 'z']",0.3,m1,0,init,1000000,699750,0,1,0,0.69975,0.0,0,33.109392840007786
