n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,2,0.5,m1,na,val,190000,0.13510526315789476,25670,0.0,0.0,19,0.0,0.028241412368498132,0.0628068686413995,0.0,0.0,0.0,0.0,0.0,0.0,0.13510526315789476,0.028241412368498132,0.0628068686413995,0,3,144,144,128,1.0,0.0,25670,0.0,0,0,0,0,135.1694459140126
5,x,2,0.5,normal,na,val,190000,0.1119,21261,0.0,0.0,19,0.0,0.026854593463351315,0.05972268320235527,0.0,0.0,0.0,0.0,0.0,0.0,0.1119,0.026854593463351315,0.05972268320235527,0,3,160,160,160,1.0,0.0,21261,0.0,0,0,0,0,134.94486606199644
5,x,3,0.5,m1,na,val,190000,0.3416421052631579,64912,0.0,0.0,19,0.0,0.019050661537126597,0.04236730022853677,0.0,0.0,0.0,0.0,0.0,0.0,0.3416421052631579,0.019050661537126597,0.04236730022853677,1,2,112,112,96,1.0,0.0,64912,0.0,0,0,0,0,188.43927609498496
5,x,3,0.5,normal,na,val,190000,0.25138421052631577,47763,0.0,0.0,19,0.0,0.044630080085667136,0.09925408619160722,0.0,0.0,0.0,0.0,0.0,0.0,0.25138421052631577,0.044630080085667136,0.09925408619160722,1,2,128,128,128,1.0,0.0,47763,0.0,0,0,0,0,185.2301877499849
5,x,4,0.5,m1,na,val,190000,0.11096315789473683,21083,1.5626953369171147e-05,0.0,19,3.1253906738342295e-05,0.030739974493437478,0.06836349099179177,3.062882860357545e-05,6.811631053163949e-05,0.0,0.0,6.12576572071509e-05,0.00013623262106327898,0.11096052631578947,0.03073892550335236,0.06836115811333575,0,3,144,112,128,1.0,0.0,21083,0.0,1,0,0,0,120.02715294902737
5,x,4,0.5,normal,na,val,190000,0.09243157894736842,17562,0.0,0.0,19,0.0,0.019190653293612536,0.04267863182009339,0.0,0.0,0.0,0.0,0.0,0.0,0.09243157894736842,0.019190653293612536,0.04267863182009339,0,3,160,128,160,1.0,0.0,17562,0.0,0,0,0,0,116.62890589503513
5,x,5,0.5,m1,na,val,190000,0.5515842105263158,104801,0.0,0.0,19,0.0,0.030505141082333348,0.0678412383858888,0.0,0.0,0.0,0.0,0.0,0.0,0.5515842105263158,0.030505141082333348,0.0678412383858888,2,1,80,80,64,1.0,0.0,104801,0.0,0,0,0,0,187.66071004200785
5,x,5,0.5,normal,na,val,190000,0.4440947368421052,84378,0.0,0.0,19,0.0,0.02993116987972117,0.0665647677385985,0.0,0.0,0.0,0.0,0.0,0.0,0.4440947368421052,0.02993116987972117,0.0665647677385985,2,1,96,96,96,1.0,0.0,84378,0.0,0,0,0,0,210.98329559100966
5,x,6,0.5,m1,na,val,190000,0.07452631578947368,14160,0.0,0.0,19,0.0,0.03460571032606377,0.07696060927589489,0.0,0.0,0.0,0.0,0.0,0.0,0.07452631578947368,0.03460571032606377,0.07696060927589489,0,3,144,112,128,1.0,0.0,14160,0.0,0,0,0,0,119.50669270999788
5,x,6,0.5,normal,na,val,190000,0.10745263157894736,20416,0.0,0.0,19,0.0,0.015289016618265075,0.034001672645475225,0.0,0.0,0.0,0.0,0.0,0.0,0.10745263157894736,0.015289016618265075,0.034001672645475225,0,3,160,128,160,1.0,0.0,20416,0.0,0,0,0,0,127.38772241200786
5,x,7,0.5,m1,na,val,190000,0.2974894736842105,56523,8.159934720522237e-06,0.0,19,1.6319869441044473e-05,0.050627731205292834,0.11259243064521028,1.599347205222358e-05,3.556833083264524e-05,0.0,0.0,3.198694410444716e-05,7.113666166529047e-05,0.29748684210526316,0.050627454013647266,0.11259181419093936,1,2,112,80,96,1.0,0.0,56523,0.0,1,0,0,0,150.58854232700833
5,x,7,0.5,normal,na,val,190000,0.2640157894736842,50163,4.265071953824919e-05,0.0,19,8.530143907649837e-05,0.021085340222280483,0.04689227919341534,3.9557352669881967e-05,8.797270549082366e-05,0.0,0.0,7.911470533976393e-05,0.0001759454109816473,0.26400526315789474,0.021085831447737905,0.04689337164348035,1,2,128,96,128,1.0,0.0,50163,0.0,4,0,0,0,169.90305458298826
5,x,8,0.5,m1,na,val,190000,0.10417368421052632,19793,0.0225628909065297,0.0017391676550128589,19,0.04415443438153699,0.031133711366118033,0.06923913346034294,0.027942746755510853,0.062142657812357574,0.002377012876391064,0.0052863055692263195,0.05271898096916038,0.11724321961786434,0.10342631578947369,0.030982556539842495,0.06890297600495339,0,3,144,80,128,1.0,0.0,19793,12.0,260,0,0,0,119.04114241299976
5,x,8,0.5,normal,na,val,190000,0.06858947368421052,13032,0.04093686602849477,0.012014147535071235,19,0.06239397765667982,0.027638934010576405,0.06146700013229178,0.031203359399519875,0.06939402567422813,0.014206552067519003,0.03159434938697151,0.05684299151399024,0.12641472227450182,0.06805,0.027496922391955784,0.061151176512712235,0,3,160,96,160,1.0,0.0,13032,11.0,183,0,0,0,121.95021892699879
5,x,9,0.5,m1,na,val,190000,0.49463684210526315,93981,0.0,0.0,19,0.0,0.08596174795720003,0.19117274099772905,0.0,0.0,0.0,0.0,0.0,0.0,0.49463684210526315,0.08596174795720003,0.19117274099772905,3,0,48,48,32,1.0,0.0,93981,0.0,0,0,0,0,212.92850456199085
5,x,9,0.5,normal,na,val,190000,0.4594894736842105,87303,0.0,0.0,19,0.0,0.08131948583255681,0.18084868412489932,0.0,0.0,0.0,0.0,0.0,0.0,0.4594894736842105,0.08131948583255681,0.18084868412489932,3,0,64,64,64,1.0,0.0,87303,0.0,0,0,0,0,233.45288766500016
5,x,10,0.5,m1,na,val,190000,0.12111578947368422,23012,0.0013454243645014063,0.0,19,0.0026908487290028126,0.02682009355460237,0.05964595788817261,0.002447567797125556,0.005443214635272837,0.0,0.0,0.004895135594251112,0.010886429270545674,0.12110263157894736,0.026822377505514357,0.05965103723063044,0,3,144,112,128,1.0,0.0,23012,0.0,5,0,0,0,131.81999744793575
5,x,10,0.5,normal,na,val,190000,0.13256315789473683,25187,9.335847009003226e-05,0.0,19,0.00018671694018006452,0.019133376742963618,0.042551252893505004,9.959663133042468e-05,0.00022149574035020315,0.0,0.0,0.00019919326266084936,0.0004429914807004063,0.13255,0.019131308887336745,0.042546654131409414,0,3,160,128,160,1.0,0.0,25187,0.0,5,0,0,0,130.91508136500488
5,x,11,0.5,m1,na,val,190000,0.29256315789473686,55587,0.0018666884856921948,0.0,19,0.0037333769713843896,0.047088006513099016,0.10472033767519576,0.003275752502591507,0.007285037817778999,0.0,0.0,0.006551505005183014,0.014570075635557999,0.2925184210526316,0.04709753754888863,0.10474153401286627,1,2,112,80,96,1.0,0.0,55587,0.0,17,0,0,0,176.56353576603578
