n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,1.0,m1,na,val,200000,0.82508,165016,0.0011376480298971856,0.021736400000000027,2,0.015683628406717647,0.0011221598237297506,0.0008096804295249057,0.8241350000000001,0.020785800000000115,0.014997734828966757,0,1,20,20,16,1.0,0.0,165016,7.0,364,0,0,0,0.5844115079962648
3,x,2,1.0,normal,na,val,200000,0.819985,163997,0.0010747577495234706,0.07960540000000006,2,0.05743828383578331,0.001389118728457125,0.0010023012987400689,0.8191325,0.08065889999999991,0.05819842362555873,0,1,24,24,24,1.0,0.0,163997,8.0,325,0,0,0,3.065864732954651
3,x,3,1.0,m1,na,val,200000,0.9408449999999999,188169,0.001175008693855149,0.00316540000000001,2,0.002283954903232556,0.0006080909953494242,0.0004387604759082197,0.93974,0.003733799999999926,0.002694076836320693,1,0,12,12,8,1.0,0.0,188169,12.0,418,0,0,0,0.330095675017219
3,x,3,1.0,normal,na,val,200000,0.938375,187675,0.002261825381177178,0.0007742000000000125,2,0.0005586143571373817,0.0002957760967522497,0.00021341355482286137,0.9362525,0.0004948999999999781,0.0003570889244991907,1,0,16,16,16,1.0,0.0,187675,22.0,805,0,0,0,1.1895167250186205
3,x,4,0.1,m1,na,val,48400000,0.9811586983471074,47488081,0.006177050548608655,0.00027935745421173137,484,0.003135644894213311,0.00010259105568761662,0.0011515322577181457,0.9750960020661157,0.00023614820928428735,0.0026506431654358784,0,1,20,12,16,1.0,0.0,47488081,21781.0,543307,0,0,0,146.58781444677152
3,x,4,0.1,normal,na,val,48400000,0.9759128305785124,47234181,0.006116301678243542,0.001054072768870194,484,0.011831429038338911,0.00012833797014463394,0.0014405282363173198,0.969946291322314,0.001072337180491473,0.01203643774021041,0,1,24,16,24,1.0,0.0,47234181,12786.0,551989,0,0,0,644.0035908155842
3,x,4,0.15,m1,na,val,48400000,0.9716298760330578,47026886,0.009316672828800434,0.0003879409513993168,484,0.0043544392504004945,0.00016755895362166937,0.0018807637651411869,0.9625733057851239,0.0003312319646462398,0.0037179098072537124,0,1,20,12,16,1.0,0.0,47026886,33964.0,808748,0,0,0,198.01565620524343
3,x,4,0.15,normal,na,val,48400000,0.9651560330578512,46713552,0.009107412865378643,0.0012574927678430815,484,0.014114714741095812,0.00018165154288975796,0.002038945889578916,0.956370402892562,0.001284231357017119,0.014414841762437049,0,1,24,16,24,1.0,0.0,46713552,20871.0,808707,0,0,0,811.5483994936803
3,x,4,0.3,m1,na,val,48400000,0.9448511157024793,45730794,0.018532576747895824,0.0007583852848552914,484,0.008512487891232863,0.00032315581637814975,0.003627259163428212,0.927325743801653,0.0006550286289878049,0.007352362162108014,0,1,20,12,16,1.0,0.0,45730794,62500.0,1571456,0,0,0,281.6723834971781
3,x,4,0.3,normal,na,val,48600000,0.932204074074074,45305118,0.018566643316082345,0.0018550441206582181,486,0.020864899955950464,0.0003839953631787541,0.0043190481277775175,0.914905,0.0018912472727439457,0.021272100592283974,0,1,24,16,24,1.0,0.0,45305118,44090.0,1593290,0,0,0,1226.7404698378523
3,x,4,0.5,m1,na,val,48400000,0.9097640702479338,44032581,0.0307673294308593,0.001206649965120458,484,0.013544030220739833,0.0005148482100114844,0.005778908479720743,0.8817331921487603,0.0010146856511773338,0.011389328737704768,0,1,20,12,16,1.0,0.0,44032581,107441.0,2498507,0,0,0,351.2993029416539
3,x,4,0.5,normal,na,val,48600000,0.8898311934156379,43245796,0.03129278319061858,0.003836796924663367,486,0.0431549757188493,0.0006372705362725679,0.007167800396835873,0.862026111111111,0.003836611895143774,0.04315289457028135,0,1,24,16,24,1.0,0.0,43245796,80649.0,2541356,0,0,0,1580.4217891112203
3,x,4,0.7,m1,na,val,48400000,0.8769106404958678,42442475,0.042628757491328675,0.0016411052978538463,484,0.01842056966978807,0.0007212720749249975,0.008095911045076504,0.8394589049586777,0.001390832919386155,0.015611389911477248,0,1,20,12,16,1.0,0.0,42442475,145242.0,3334844,0,0,0,340.5669022440561
3,x,4,0.7,normal,na,val,48500000,0.8495000618556701,41200753,0.04299057817115052,0.005643985713830952,485,0.06341627138715314,0.0008470498344943121,0.00951751916222929,0.8130746288659795,0.005557129220253221,0.06244034493238486,0,1,24,16,24,1.0,0.0,41200753,119319.0,3294629,0,0,0,1856.1384039738332
3,x,4,0.9,m1,na,val,48400000,0.8467305785123967,40981760,0.055392152030511795,0.0018646044375156105,484,0.020929233482318076,0.0009198135441217138,0.010324437740141686,0.7997270764462809,0.001558595843867152,0.017494443145447625,0,1,20,12,16,1.0,0.0,40981760,186294.0,4177351,0,0,0,391.5718133839546
3,x,4,0.9,normal,na,val,48600000,0.8164367901234567,39678828,0.05651173956923272,0.004845473096114195,486,0.05450021930141434,0.0010921661983253944,0.012284310766282124,0.7704587345679013,0.004854486251240432,0.05460159617860133,0,1,24,16,24,1.0,0.0,39678828,172227.0,4124613,0,0,0,2196.0830288333236
3,x,4,1.0,m1,na,val,48600000,0.8277981275720164,40230989,0.059684334052755625,0.0021796647194349166,486,0.02451612110033664,0.000980706025179574,0.011030644971564921,0.7782596810699588,0.0017996012666689877,0.020241297752167195,0,1,20,12,16,1.0,0.0,40230989,210443.0,4394251,0,0,0,515.435538092861
3,x,4,1.0,normal,na,val,48700000,0.79933340862423,38927537,0.06330929049380739,0.005198253363220399,487,0.058528292264111534,0.0012648763386405137,0.014241524383884187,0.7489806981519508,0.005157230080890852,0.058066401992505096,0,1,24,16,24,1.0,0.0,38927537,186604.0,4531146,0,0,0,2205.394229259051
3,x,5,0.1,m1,na,val,48400000,1.0,48400000,4.555785123966943e-06,0.0,484,0.0,4.237989234986364e-07,4.756926692331633e-06,0.9999954442148761,4.237989234962257e-07,4.756926692304574e-06,2,-1,4,4,0,1.0,0.0,48400000,0.0,441,0,0,0,7.746592621318971
3,x,5,0.1,normal,na,val,48400000,1.0,48400000,2.3481404958677686e-05,0.0,484,0.0,9.984052344605494e-07,1.1206589366393922e-05,0.9999765185950413,9.984052344622381e-07,1.1206589366412877e-05,2,-1,8,8,8,1.0,0.0,48400000,9.0,2255,0,0,0,87.30927943147252
3,x,5,0.15,m1,na,val,48400000,1.0,48400000,1.0671487603305785e-05,0.0,484,0.0,6.674191795364818e-07,7.491439770307449e-06,0.9999893285123967,6.674191795358852e-07,7.491439770300753e-06,2,-1,4,4,0,1.0,0.0,48400000,3.0,1027,0,0,0,9.083279548678524
3,x,5,0.15,normal,na,val,48400000,1.0,48400000,5.576446280991735e-05,0.0,484,0.0,1.711573226397445e-06,1.92115362146652e-05,0.99994423553719,1.711573226397e-06,1.9211536214660205e-05,2,-1,8,8,8,1.0,0.0,48400000,9.0,5380,0,0,0,137.2015905799344
3,x,5,0.3,m1,na,val,48400000,1.0,48400000,4.045454545454545e-05,0.0,484,0.0,1.6301022058696285e-06,1.829706557608767e-05,0.9999595454545455,1.630102205867617e-06,1.829706557606509e-05,2,-1,4,4,0,1.0,0.0,48400000,12.0,3892,0,0,0,10.779314573679562
3,x,5,0.3,normal,na,val,48500000,1.0,48500000,0.0002142577319587629,0.0,485,0.0,4.278262870651515e-06,4.807090113746231e-05,0.9997857422680413,4.278262870653492e-06,4.807090113748452e-05,2,-1,8,8,8,1.0,0.0,48500000,102.0,20579,0,0,0,183.65317202487495
3,x,5,0.5,m1,na,val,48400000,1.0,48400000,0.00011104338842975207,0.0,484,0.0,3.6680477008500883e-06,4.1171963989133644e-05,0.9998889566115703,3.668047700851261e-06,4.117196398914681e-05,2,-1,4,4,0,1.0,0.0,48400000,57.0,10635,0,0,0,11.930006720940558
3,x,5,0.5,normal,na,val,48600000,1.0,48600000,0.000588641975308642,0.0,486,0.0,9.6918478594121e-06,0.00010901058024602312,0.9994113580246913,9.691847859410754e-06,0.00010901058024600801,2,-1,8,8,8,1.0,0.0,48600000,425.0,56366,0,0,0,199.58219469332835
3,x,5,0.7,m1,na,val,48400000,1.0,48400000,0.00021585743801652893,0.0,484,0.0,6.784681946426904e-06,7.615459327622035e-05,0.9997841425619836,6.784681946426681e-06,7.615459327621786e-05,2,-1,4,4,0,1.0,0.0,48400000,107.0,20681,0,0,0,11.682965205458435
3,x,5,0.7,normal,na,val,48500000,1.0,48500000,0.001135061855670103,0.0,485,0.0,1.7193466652301514e-05,0.00019318715577829295,0.99886493814433,1.7193466652302056e-05,0.00019318715577829905,2,-1,8,8,8,1.0,0.0,48500000,1328.0,107445,0,0,0,218.16710601915838
3,x,5,0.9,m1,na,val,48400000,1.0,48400000,0.00035694214876033056,0.0,484,0.0,1.0425636291274252e-05,0.00011702244816736405,0.9996430578512397,1.0425636291278245e-05,0.00011702244816740888,2,-1,4,4,0,1.0,0.0,48400000,255.0,34042,0,0,0,11.980735307442933
3,x,5,0.9,normal,na,val,48600000,1.0,48600000,0.0018542592592592593,0.0,486,0.0,2.7751062529671642e-05,0.0003121344322244324,0.9981457407407408,2.7751062529671934e-05,0.0003121344322244357,2,-1,8,8,8,1.0,0.0,48600000,2663.0,174908,0,0,0,228.78060259699123
3,x,5,1.0,m1,na,val,48600000,1.0,48600000,0.00043770576131687243,0.0,486,0.0,1.2624901230146137e-05,0.0001420005584704302,0.9995622942386831,1.2624901230147103e-05,0.00014200055847044107,2,-1,4,4,0,1.0,0.0,48600000,371.0,41803,0,0,0,16.763631906884232
3,x,5,1.0,normal,na,val,48700000,1.0,48700000,0.0022705749486652974,0.0,487,0.0,3.262963861666189e-05,0.0003673843677841056,0.9977294250513347,3.2629638616661725e-05,0.00036738436778410374,2,-1,8,8,8,1.0,0.0,48700000,3597.0,213960,0,0,0,236.36989091848955
3,x,6,1.0,m1,na,val,200000,0.85022,170044,0.06504697774096393,0.0029203999999999827,2,0.0021071782079358993,0.017440823323616583,0.012584208613883457,0.7949025000000001,0.012098099999999884,0.008729233213747847,0,1,20,12,16,1.0,0.0,170044,664.0,20799,0,0,0,3.8312793549848725
3,x,6,1.0,normal,na,val,200000,0.8051550000000001,161031,0.09762223854056801,0.03728900000000008,2,0.026905413024148193,0.02611961132072611,0.01884627988453301,0.7268075,0.054679099999999974,0.03945302285630341,0,1,24,16,24,1.0,0.0,161031,1141.0,29057,0,0,0,18.993103927990887
3,x,7,1.0,m1,na,val,200000,0.94844,189688,0.03728491404185193,0.004939199999999989,2,0.003563818177180192,3.0129975913269903e-06,2.173990845434744e-06,0.9130775,0.004757900000000053,0.0034330034226607263,1,0,12,4,8,1.0,0.0,189688,252.0,13641,0,0,0,0.749609388934914
3,x,7,1.0,normal,na,val,200000,0.9587399999999999,191748,0.050918663761466025,0.0009799999999999464,2,0.0007071067811865089,0.0010180030983230445,0.0007345274429521842,0.9099225,0.0019060999999999204,0.0013753226894077776,1,0,16,8,16,1.0,0.0,191748,456.0,18615,0,0,0,6.670575689990073
3,z,2,1.0,m1,na,val,200000,0.950565,190113,0.03539917087084542,0.006281800000000026,2,0.004532554467405789,0.004105211649467923,0.0029620642811681434,0.9169225,0.00996169999999998,0.0071877404307612415,1,0,12,12,8,1.0,0.0,190113,240.0,12977,0,0,0,0.3398982539656571
3,z,2,1.0,normal,na,val,200000,0.9407049999999999,188141,0.042664607414942504,0.0005782000000000341,2,0.00041719300090008773,0.001265573504969866,0.0009131587831165501,0.90057,0.0006370000000000387,0.0004596194077712838,1,0,16,16,16,1.0,0.0,188141,318.0,15418,0,0,0,6.571651112928521
3,z,3,1.0,m1,na,val,200000,0.855415,171083,0.07608269589881703,0.025862199999999967,2,0.018660547955512967,0.0036807466526474117,0.002655796855017011,0.7903575,0.027043099999999872,0.019512611626842688,0,1,20,12,16,1.0,0.0,171083,966.0,24091,0,0,0,4.4865613570436835
3,z,3,1.0,normal,na,val,200000,0.798815,159763,0.07218137124685661,0.017884999999999936,2,0.012904698756654445,0.00922283153827853,0.006654619104548885,0.7411125000000001,0.009226700000000006,0.00665741034487135,0,1,24,16,24,1.0,0.0,159763,1055.0,20971,0,0,0,15.097756322997157
3,z,4,0.1,m1,na,val,48400000,1.0,48400000,3.935950413223141e-06,0.0,484,0.0,3.9877738416279016e-07,4.476072679378257e-06,0.9999960640495867,3.9877738416190126e-07,4.47607267936828e-06,2,-1,4,4,0,1.0,0.0,48400000,0.0,381,0,0,0,5.116592676320555
3,z,4,0.1,normal,na,val,48500000,1.0,48500000,9.195876288659794e-06,0.0,485,0.0,5.916042431034092e-07,6.647312225206109e-06,0.9999908041237113,5.916042431038643e-07,6.6473122252112225e-06,2,-1,8,8,8,1.0,0.0,48500000,0.0,892,0,0,0,93.47370834340107
3,z,4,0.15,m1,na,val,48400000,1.0,48400000,1.0278925619834712e-05,0.0,484,0.0,7.031561157643681e-07,7.892568646334744e-06,0.9999897210743801,7.03156115765254e-07,7.892568646344688e-06,2,-1,4,4,0,1.0,0.0,48400000,2.0,991,0,0,0,7.834184365638042
3,z,4,0.15,normal,na,val,48400000,1.0,48400000,1.9628099173553717e-05,0.0,484,0.0,8.525763999837952e-07,9.569735101858927e-06,0.9999803719008264,8.525763999851921e-07,9.569735101874606e-06,2,-1,8,8,8,1.0,0.0,48400000,5.0,1890,0,0,0,106.76434953202259
3,z,4,0.3,m1,na,val,48400000,1.0,48400000,3.835743801652893e-05,0.0,484,0.0,1.5228349004976012e-06,1.7093044801503687e-05,0.9999616425619834,1.5228349004971825e-06,1.7093044801498988e-05,2,-1,4,4,0,1.0,0.0,48400000,6.0,3701,0,0,0,10.316375170194055
3,z,4,0.3,normal,na,val,48400000,1.0,48400000,7.854338842975206e-05,0.0,484,0.0,1.8443485262597381e-06,2.070187121311951e-05,0.9999214566115703,1.8443485262598078e-06,2.0701871213120293e-05,2,-1,8,8,8,1.0,0.0,48400000,32.0,7539,0,0,0,152.51371839124474
3,z,4,0.5,m1,na,val,48400000,1.0,48400000,0.00010584710743801652,0.0,484,0.0,3.520846129759867e-06,3.9519701456488305e-05,0.999894152892562,3.5208461297581103e-06,3.9519701456468586e-05,2,-1,4,4,0,1.0,0.0,48400000,42.0,10162,0,0,0,11.731012790114598
3,z,4,0.5,normal,na,val,48400000,1.0,48400000,0.00021600206611570248,0.0,484,0.0,3.4875180904209155e-06,3.914561121901028e-05,0.9997839979338844,3.4875180904220907e-06,3.9145611219023466e-05,2,-1,8,8,8,1.0,0.0,48400000,96.0,20717,0,0,0,189.90723045449704
3,z,4,0.7,m1,na,val,48400000,1.0,48400000,0.00020832644628099173,0.0,484,0.0,5.943028061535326e-06,6.670745783355978e-05,0.9997916735537191,5.943028061535795e-06,6.670745783356504e-05,2,-1,4,4,0,1.0,0.0,48400000,115.0,19936,0,0,0,11.454362428281433
3,z,4,0.7,normal,na,val,48400000,1.0,48400000,0.00042215909090909093,0.0,484,0.0,5.620907156069788e-06,6.309181501710987e-05,0.999577840909091,5.620907156069902e-06,6.309181501711116e-05,2,-1,8,8,8,1.0,0.0,48400000,319.0,40227,0,0,0,214.58228184498148
3,z,4,0.9,m1,na,val,48400000,1.0,48400000,0.00033889462809917354,0.0,484,0.0,9.360480002519025e-06,0.00010506661227317274,0.9996611053719009,9.360480002517497e-06,0.00010506661227315557,2,-1,4,4,0,1.0,0.0,48400000,237.0,32331,0,0,0,14.767944563587639
3,z,4,0.9,normal,na,val,48500000,1.0,48500000,0.0006945463917525773,0.0,485,0.0,8.048688401720946e-06,9.043570162542323e-05,0.9993054536082474,8.048688401719943e-06,9.043570162541197e-05,2,-1,8,8,8,1.0,0.0,48500000,667.0,66037,0,0,0,224.88319994002813
3,z,4,1.0,m1,na,val,48700000,1.0,48700000,0.000423223819301848,0.0,487,0.0,1.1636051886302604e-05,0.00013101289952900089,0.9995767761806981,1.1636051886302633e-05,0.0001310128995290012,2,-1,4,4,0,1.0,0.0,48700000,313.0,40596,0,0,0,16.77826346928484
3,z,4,1.0,normal,na,val,48600000,1.0,48600000,0.000858014403292181,0.0,486,0.0,9.344904377372279e-06,0.00010510827896784038,0.9991419855967079,9.344904377371647e-06,0.00010510827896783329,2,-1,8,8,8,1.0,0.0,48600000,935.0,81529,0,0,0,187.75924748997204
3,z,5,0.1,m1,na,val,48400000,0.980987561983471,47479798,0.006114228790727513,0.00026001034926353246,484,0.002918483512141691,0.00011406574571653102,0.0012803297988590217,0.9749879132231406,0.00023122842636932756,0.0025954211123087787,0,1,20,12,16,1.0,0.0,47479798,22679.0,535408,0,0,0,86.50194753421236
3,z,5,0.1,normal,na,val,48400000,0.9768584297520662,47279948,0.006130763865787689,0.0007345589787125501,484,0.008245049761059236,0.0001225114691762574,0.0013751287356518688,0.9708710847107438,0.0007556868620306402,0.008482199471772492,0,1,24,16,24,1.0,0.0,47279948,13910.0,551755,0,0,0,586.2295053346315
3,z,5,0.15,m1,na,val,48400000,0.9716230371900827,47026555,0.009077181242888775,0.000388171088441614,484,0.0043570224212834225,0.00016625075659660823,0.0018660799209823374,0.9628001239669421,0.00035115994441451456,0.00394159121281598,0,1,20,12,16,1.0,0.0,47026555,34863.0,784332,0,0,0,138.26530654350063
3,z,5,0.15,normal,na,val,48400000,0.9652289669421488,46717082,0.009054663401588411,0.0012184190328145576,484,0.013676132000979729,0.00019509468077123302,0.0021898382535546564,0.9564939876033057,0.001250930548516374,0.014041057177224606,0,1,24,16,24,1.0,0.0,46717082,22482.0,800582,0,0,0,715.4382212595665
3,z,5,0.3,m1,na,val,48400000,0.9445137809917356,45714467,0.018385071011809237,0.0008001324746408774,484,0.008981078796989441,0.0003204220560125348,0.00359657409809988,0.9271346590909091,0.0007068842027529165,0.007934414520696003,0,1,20,12,16,1.0,0.0,45714467,71216.0,1539867,0,0,0,241.14449659379898
3,z,5,0.3,normal,na,val,48400000,0.93114923553719,45067623,0.018144010356767937,0.002594221417779205,484,0.029118811832215572,0.0003774025063725038,0.004236150581732186,0.914282582644628,0.0026394959232032542,0.02962699505636306,0,1,24,16,24,1.0,0.0,45067623,43517.0,1545658,0,0,0,1087.1115110520623
3,z,5,0.5,m1,na,val,48400000,0.9105946280991736,44072780,0.030500875385145523,0.0011774241857662828,484,0.013215985758601135,0.000539085073320473,0.006050954904617554,0.8827862913223141,0.0010301318234841761,0.011562704141148914,0,1,20,12,16,1.0,0.0,44072780,113407.0,2465033,0,0,0,324.2711887958576
3,z,5,0.5,normal,na,val,48500000,0.8924181030927836,43282278,0.029478669448354207,0.0023399999433068846,485,0.026292425065326277,0.0006337335096040391,0.0071206800069846,0.8661698865979381,0.002482214847499879,0.027890363015009585,0,1,24,16,24,1.0,0.0,43282278,70841.0,2404395,0,0,0,1529.5391634229454
3,z,5,0.7,m1,na,val,48400000,0.8753094008264463,42364975,0.042502847851946704,0.0016526442509879125,484,0.018550088531496978,0.0007219347485311122,0.008103349218206362,0.8380443491735537,0.0014406078983864245,0.016170088655357826,0,1,20,12,16,1.0,0.0,42364975,162322.0,3282613,0,0,0,386.4959120868589
3,z,5,0.7,normal,na,val,48400000,0.8494146280991735,41111668,0.04249350658824059,0.004949633601492707,484,0.05555711185348957,0.0009804081575018678,0.011004581359714844,0.8136392561983471,0.0050048641922405684,0.056177047055761486,0,1,24,16,24,1.0,0.0,41111668,101891.0,3259274,0,0,0,1894.6063685770496
3,z,5,0.9,m1,na,val,48400000,0.8445601239669421,40876710,0.0535312701506227,0.0019656867143628396,484,0.022063830467337998,0.0009221182289514791,0.010350306651496194,0.7992549586776859,0.001691719906404589,0.018988692826990283,0,1,20,12,16,1.0,0.0,40876710,194960.0,3995620,0,0,0,394.399449618184
3,z,5,0.9,normal,na,val,48500000,0.8121374226804123,39388665,0.054681151410908214,0.006045658647074541,485,0.06792950034183087,0.0016711427455597993,0.018777092510951502,0.7687248556701031,0.006072309344496711,0.06822894969306498,0,1,24,16,24,1.0,0.0,39388665,132537.0,3945945,0,0,0,2179.2690977816237
3,z,5,1.0,m1,na,val,48700000,0.8286524024640657,40355372,0.05933267502379752,0.002087172856355606,487,0.02349994400173334,0.0009706749828376248,0.010929045800450569,0.7793740041067762,0.0017684916581797842,0.01991184142137804,0,1,20,12,16,1.0,0.0,40355372,216429.0,4366858,0,0,0,445.8966632026131
3,z,5,1.0,normal,na,val,48600000,0.7954655144032923,38659624,0.06185414813469761,0.004979569928126326,486,0.05600849447028216,0.002739748192915841,0.030815747891431076,0.7476460082304527,0.005035844424642858,0.056641450703944295,0,1,24,16,24,1.0,0.0,38659624,151321.0,4345414,0,0,0,2263.854496090731
3,z,6,1.0,m1,na,val,200000,0.93077,186154,0.0010579646937946285,0.0019600000000000017,2,0.0014142135623730963,0.0005452758352763438,0.00039343698034802205,0.9297850000000001,0.0014504000000000905,0.0010465180361561557,1,0,12,4,8,1.0,0.0,186154,6.0,382,0,0,0,0.1085271050105802
3,z,6,1.0,normal,na,val,200000,0.960725,192145,0.002284736050657836,0.000538999999999995,2,0.00038890872965259755,2.1683075522449035e-05,1.5645152794799752e-05,0.95853,0.0005585999999999602,0.0004030508652763034,1,0,16,8,16,1.0,0.0,192145,20.0,838,0,0,0,0.749164666980505
3,z,7,1.0,m1,na,val,200000,0.85572,171144,0.0012893805149856367,0.008231999999999963,2,0.0059396969619669735,0.0003960573323042137,0.00028577023001118715,0.8546175,0.0085603000000001,0.006176577733664566,0,1,20,4,16,1.0,0.0,171144,5.0,431,0,0,0,0.2558236710610799
3,z,7,1.0,normal,na,val,200000,0.82113,164226,0.0014482303849822696,0.08310399999999998,2,0.05996265504461922,0.0016555798254678715,0.001194562981004054,0.819905,0.08162420000000006,0.0588949238050276,0,1,24,8,24,1.0,0.0,164226,12.0,466,0,0,0,2.444141304935328
