n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,8,0.1,m1,na,val,34000000,0.7036893235294117,23925437,0.00019684424822634624,4.7961072508155855e-06,34,0.00038409628195106135,0.006499803474291111,0.019336755808438685,1.5991127055866733e-05,4.7573210513835754e-05,9.081365533877007e-07,2.701683957527701e-06,3.257873451453497e-05,9.692093558632125e-05,0.7035506911764706,0.006497096084287148,0.01932870138962558,0,3,144,80,128,1.0,0.0,23925437,115.0,9197,0,0,0,22453.780039068428
5,x,8,0.1,normal,na,val,35000000,0.6828353142857142,23899236,0.00019064665677005717,6.18749830212089e-06,35,0.0003689183169358725,0.005568963340889512,0.016809403792785376,2.346018529060046e-05,7.081241219667978e-05,1.3278224538527257e-06,4.007909987134609e-06,4.663899719402163e-05,0.00014077552469570973,0.6827053428571429,0.005570754758283174,0.016814811021471976,0,3,160,96,160,1.0,0.0,23899236,147.0,8804,0,0,0,22027.675168154063
5,x,8,0.15,m1,na,val,34000000,0.5992890588235293,20375828,0.0004511175831275016,1.2136870586070485e-05,34,0.0008779614250828622,0.006480113530207413,0.019278178708048765,3.6539347301623004e-05,0.00010870366142082102,2.0077626310662902e-06,5.973044550007945e-06,7.480688096781954e-05,0.0002225486348605991,0.5990183823529411,0.006473599863163038,0.01925880070845959,0,3,144,80,128,1.0,0.0,20375828,246.0,17914,0,0,0,19184.2710485867
5,x,8,0.15,normal,na,val,36000000,0.548856138888889,19758821,0.00042943204380537354,1.6093198288847395e-05,36,0.0008266776910330522,0.010114538532898208,0.03096287305989247,3.491117820595237e-05,0.00010687095369169094,2.6679126671450622e-06,8.16707959330121e-06,6.981491389283031e-05,0.00021371912416172546,0.5486202638888888,0.010109101527926809,0.030946229167122887,0,3,160,96,160,1.0,0.0,19758821,313.0,16357,0,0,0,20455.294905466377
5,x,8,0.3,m1,na,val,34000000,0.34961885294117645,11887041,0.001991239897589471,9.809614627014653e-05,34,0.0037862875026386496,0.01292518066257971,0.03845209524269745,0.00021455223766184096,0.0006382876411926586,1.6174821172148764e-05,4.811969600128813e-05,0.00041492924787350327,0.001234404328629969,0.3489277205882353,0.012913511044764282,0.03841737841610919,0,3,144,80,128,1.0,0.0,11887041,1132.0,44733,0,0,0,16142.411370320246
5,x,8,0.3,normal,na,val,36000000,0.31458111111111114,11324920,0.0018388145952126223,0.00012112800263110955,36,0.0034353731851630253,0.01135874579838835,0.03477167081139291,0.00016662101816390917,0.0005100643413180893,2.0061428591980418e-05,6.14125365060625e-05,0.00031970449445797486,0.000978687227932576,0.31400579166666664,0.011345743177472651,0.03473186686981424,0,3,160,96,160,1.0,0.0,11324920,1328.0,38767,0,0,0,18244.79919325642
5,x,8,0.5,m1,na,val,33000000,0.16545793939393938,5460112,0.005213790671786881,0.00037159351609393547,33,0.009684394311385888,0.00895398401574075,0.026243225568634128,0.00038532808899555056,0.0011293578299518983,6.0640781163404106e-05,0.00017773202363682557,0.0007622657512968525,0.002234124164099564,0.16460419696969697,0.008929818348588185,0.026172398431464076,0,3,144,80,128,1.0,0.0,5460112,1923.0,52501,0,0,0,13284.880930082407
5,x,8,0.5,normal,na,val,36000000,0.15101880555555555,5436677,0.005533753098357852,0.0005525828514305771,36,0.009962340493854548,0.009586654079713638,0.02934690024402134,0.0004100550090595778,0.0012552704358966668,6.879406396323551e-05,0.00021059407335684342,0.0007518267425851276,0.0023015104364850847,0.15019473611111112,0.00955564949268808,0.0292519882429227,0,3,160,96,160,1.0,0.0,5436677,2898.0,53537,0,0,0,14877.923276368761
5,x,8,0.7,m1,na,val,36000000,0.08594566666666666,3094044,0.010450500650929995,0.001088122340921073,36,0.01872475662001784,0.007852409164044711,0.024037987236871564,0.0009445918963343394,0.002891607845921447,0.00018971263803393146,0.0005807529735732596,0.0017107251397875734,0.005236913693227266,0.08506420833333334,0.00778386125488333,0.02382814669862244,0,3,144,80,128,1.0,0.0,3094044,3071.0,57323,0,0,0,13366.629263188574
5,x,8,0.7,normal,na,val,36000000,0.07195741666666666,2590467,0.011566899792191204,0.0016084211780296026,36,0.019916957228323203,0.004980527636220662,0.015246513172104069,0.0010349630318616954,0.0031682541791684554,0.000182332892954227,0.0005581619172068174,0.0019569775754879025,0.005990747680065007,0.07113226388888888,0.004935847184785443,0.015109736279955438,0,3,160,96,160,1.0,0.0,2590467,3942.0,51527,0,0,0,13969.195397030446
