n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,5,"['z', 'z', 'x']",0.7,normal,0,na,1000000,1000000,4187,8092,0,1.0,0.004187000000000052,0,1.5391641819151118
3,x,5,"['z', 'z', 'x']",0.3,normal,0,na,1000000,1000000,787,1534,0,1.0,0.0007869999999999822,0,1.1854545350652188
3,x,5,"['z', 'z', 'x']",1,normal,0,na,1000000,1000000,8070,15197,0,1.0,0.008070000000000022,0,1.9331038380041718
3,x,5,"['z', 'z', 'x']",0.5,normal,0,na,1000000,1000000,2206,4267,0,1.0,0.0022060000000000413,0,1.7053906060755253
3,x,5,"['z', 'z', 'x']",0.9,normal,0,na,1000000,1000000,6624,12582,0,1.0,0.006623999999999963,0,2.106403179001063
3,x,5,"['z', 'z', 'x']",0.15,normal,0,na,1000000,1000000,206,411,0,1.0,0.00020600000000003948,0,1.3148331149714068
3,x,5,"['z', 'z', 'x']",0.1,normal,0,na,1000000,1000000,86,171,0,1.0,8.60000000000305e-05,0,1.197405104059726
3,x,4,"['x', 'z', 'x']",0.1,normal,0,na,1000000,980465,5583,10424,0,0.980465,0.005694236918196927,0,9.919605989009142
3,x,4,"['x', 'z', 'x']",0.3,normal,0,na,1000000,934680,19802,37395,0,0.93468,0.021185860401420786,0,22.852836542995647
3,x,4,"['x', 'z', 'x']",1,m1,0,na,1000000,846194,40219,73664,0,0.846194,0.04752928997369399,0,8.156375702936202
3,x,4,"['x', 'z', 'x']",0.5,normal,0,na,1000000,896012,23917,44204,0,0.896012,0.026692722865318763,0,26.95855718990788
3,x,4,"['x', 'z', 'x']",0.7,normal,0,na,1000000,856554,31864,59510,0,0.856554,0.03720022322001881,0,29.93064599193167
3,x,5,"['z', 'z', 'x']",1,m1,0,na,1000000,1000000,3814,7349,0,1.0,0.003813999999999984,0,0.137339934008196
3,x,4,"['x', 'z', 'x']",0.15,normal,0,na,1000000,966915,7278,13831,0,0.966915,0.007527031848714727,0,20.006052499986254
3,x,4,"['x', 'z', 'x']",1,normal,0,na,1000000,818786,40642,76277,0,0.818786,0.04963690146143196,0,33.694352024002
3,x,5,"['z', 'z', 'x']",0.9,m1,0,na,1000000,1000000,3182,6165,0,1.0,0.003182000000000018,0,0.18950129894074053
3,x,4,"['x', 'z', 'x']",0.9,normal,0,na,1000000,839441,40728,76927,0,0.839441,0.04851800186076205,0,33.18629398709163
3,x,5,"['z', 'z', 'x']",0.7,m1,0,na,1000000,1000000,1905,3726,0,1.0,0.0019050000000000455,0,0.08496109093539417
3,x,4,"['x', 'z', 'x']",0.9,m1,0,na,1000000,848683,40830,71657,0,0.848683,0.048109836063642164,0,6.571569332969375
3,x,5,"['z', 'z', 'x']",0.3,m1,0,na,1000000,1000000,360,707,0,1.0,0.00036000000000002697,0,0.09704046603292227
3,x,5,"['z', 'z', 'x']",0.5,m1,0,na,1000000,1000000,1000,1970,0,1.0,0.0010000000000000009,0,0.16147616296075284
3,x,4,"['x', 'z', 'x']",0.5,m1,0,na,1000000,912175,24609,43494,0,0.912175,0.026978375859895265,0,4.054480878985487
3,x,4,"['x', 'z', 'x']",0.7,m1,0,na,1000000,877994,32514,58051,0,0.877994,0.03703214372763364,0,7.108446066034958
3,x,5,"['z', 'z', 'x']",0.15,m1,0,na,1000000,1000000,98,197,0,1.0,9.80000000000425e-05,0,0.06765167601406574
3,x,4,"['x', 'z', 'x']",0.3,m1,0,na,1000000,956372,16377,30866,0,0.956372,0.01712408978932889,0,3.4063843509647995
3,x,4,"['x', 'z', 'x']",0.15,m1,0,na,1000000,971335,6906,12509,0,0.971335,0.007109802488327932,0,2.922861753962934
3,x,5,"['z', 'z', 'x']",0.1,m1,0,na,1000000,1000000,42,84,0,1.0,4.199999999998649e-05,0,0.08631865901406854
3,x,4,"['x', 'z', 'x']",0.1,m1,0,na,1000000,982402,5668,10057,0,0.982402,0.00576953222815102,0,2.5974466040497646
3,z,4,"['z', 'z', 'x']",1,normal,0,na,1000000,1000000,4627,8910,0,1.0,0.004627000000000048,0,2.4245608060155064
3,z,4,"['z', 'z', 'x']",0.9,normal,0,na,1000000,1000000,3811,7254,0,1.0,0.003811000000000009,0,1.5520584089681506
3,z,4,"['z', 'z', 'x']",0.7,normal,0,na,1000000,1000000,2304,4472,0,1.0,0.0023039999999999727,0,1.3393903020769358
3,z,4,"['z', 'z', 'x']",0.5,normal,0,na,1000000,1000000,1190,2343,0,1.0,0.0011900000000000244,0,1.9386140230344608
3,z,4,"['z', 'z', 'x']",0.3,normal,0,na,1000000,1000000,438,870,0,1.0,0.00043800000000004946,0,1.6196598650421947
3,z,4,"['z', 'z', 'x']",0.15,normal,0,na,1000000,1000000,116,229,0,1.0,0.00011600000000000499,0,0.8038606269983575
3,z,4,"['z', 'z', 'x']",0.1,normal,0,na,1000000,1000000,47,94,0,1.0,4.700000000001925e-05,0,0.6875075799180195
3,z,4,"['z', 'z', 'x']",1,m1,0,na,1000000,1000000,3526,6841,0,1.0,0.003526000000000029,0,0.1827349029481411
3,z,5,"['x', 'x', 'z']",0.3,normal,0,na,1000000,938961,14537,27758,0,0.938961,0.015482006174910357,0,17.993922585970722
3,z,4,"['z', 'z', 'x']",0.9,m1,0,na,1000000,1000000,2968,5777,0,1.0,0.0029679999999999707,0,0.08612304204143584
3,z,5,"['x', 'x', 'z']",0.15,normal,0,na,1000000,970946,7920,15786,0,0.970946,0.008156993282839586,0,12.880070016020909
3,z,5,"['x', 'x', 'z']",1,m1,0,na,1000000,838800,46448,86091,0,0.8388,0.05537434430138288,0,2.8776283289771527
3,z,5,"['x', 'x', 'z']",0.5,normal,0,na,1000000,894806,21624,38226,0,0.894806,0.0241661321001424,0,21.96111725899391
3,z,5,"['x', 'x', 'z']",0.1,normal,0,na,1000000,979923,5896,11045,0,0.979923,0.006016799279127016,0,8.166769005940296
3,z,5,"['x', 'x', 'z']",0.7,normal,0,na,1000000,858950,30447,56060,0,0.85895,0.035446766400838214,0,30.053538564010523
3,z,5,"['x', 'x', 'z']",0.9,normal,0,na,1000000,819201,33468,63479,0,0.819201,0.0408544423163546,0,27.645566474995576
3,z,5,"['x', 'x', 'z']",0.9,m1,0,na,1000000,844893,39514,69731,0,0.844893,0.046768052285910744,0,2.157312906929292
