n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,6,"['x', 'x', 'z', 'x']",0.7,normal,0,na,1000000,493559,5302,9801,0,0.493559,0.010742383382736365,0,261.079797121929
4,x,6,"['x', 'x', 'z', 'x']",0.9,normal,0,na,1000000,434174,7157,13250,0,0.434174,0.016484174547531594,0,284.44960923399776
4,x,7,"['z', 'x', 'z', 'x']",1,normal,0,na,1000000,591038,13064,22994,0,0.591038,0.022103485731881922,0,398.44928244606126
4,x,6,"['x', 'x', 'z', 'x']",0.3,normal,0,na,1000000,678761,1364,2606,0,0.678761,0.0020095438600626903,0,442.3810980429407
4,x,7,"['z', 'x', 'z', 'x']",0.7,normal,0,na,1000000,674117,9740,17111,0,0.674117,0.01444853044797867,0,472.1914308000123
4,x,6,"['x', 'x', 'z', 'x']",0.5,normal,0,na,1000000,571782,2170,4079,0,0.571782,0.0037951526980563033,0,513.8153592490125
4,x,6,"['x', 'x', 'z', 'x']",1,normal,0,na,1000000,364384,4342,8136,0,0.364384,0.011916000702555496,0,527.4556354139931
4,x,7,"['z', 'x', 'z', 'x']",0.5,normal,0,na,1000000,775492,4772,8819,0,0.775492,0.00615351286667043,0,608.3781298350077
4,x,7,"['z', 'x', 'z', 'x']",0.3,normal,0,na,1000000,840359,2554,4791,0,0.840359,0.0030391773039855075,0,603.1720557839144
4,x,7,"['z', 'x', 'z', 'x']",0.9,normal,0,na,1000000,557400,9270,16081,0,0.5574,0.016630785791173275,0,669.9812379960204
4,x,6,"['x', 'x', 'z', 'x']",0.15,normal,0,na,1000000,851955,683,1340,0,0.851955,0.0008016855350341245,0,513.1862745200051
4,x,7,"['z', 'x', 'z', 'x']",0.7,m1,0,na,1000000,654661,9205,16058,0,0.654661,0.014060712338141435,0,153.64733101800084
4,x,7,"['z', 'x', 'z', 'x']",0.1,normal,0,na,1000000,943126,626,1229,0,0.943126,0.0006637501245856381,0,388.176682521007
4,x,7,"['z', 'x', 'z', 'x']",1,m1,0,na,1000000,635277,11866,20955,0,0.635277,0.018678466243858938,0,361.3017251479905
4,x,6,"['x', 'x', 'z', 'x']",1,m1,0,na,1000000,380507,5519,10108,0,0.380507,0.014504332377590967,0,420.2229626480257
4,x,6,"['x', 'x', 'z', 'x']",0.7,m1,0,na,1000000,504540,4486,8358,0,0.50454,0.008891267292979732,0,300.65865499409847
4,x,6,"['x', 'x', 'z', 'x']",0.9,m1,0,na,1000000,463395,6575,12234,0,0.463395,0.014188759050054456,0,413.4083355939947
4,x,7,"['z', 'x', 'z', 'x']",0.9,m1,0,na,1000000,694986,11746,21395,0,0.694986,0.016901059877465152,0,347.9344332860783
4,x,7,"['z', 'x', 'z', 'x']",0.15,normal,0,na,1000000,904809,670,1291,0,0.904809,0.0007404877714523028,0,694.3967153950362
4,x,6,"['x', 'x', 'z', 'x']",0.1,normal,0,na,1000000,892811,478,949,0,0.892811,0.0005353876688347636,0,567.1397310509346
4,x,7,"['z', 'x', 'z', 'x']",0.5,m1,0,na,1000000,800598,5342,9880,0,0.800598,0.006672512297057898,0,156.389287975966
4,x,7,"['z', 'x', 'z', 'x']",0.15,m1,0,na,1000000,926113,928,1809,0,0.926113,0.001002037548333723,0,118.58098540804349
4,x,7,"['z', 'x', 'z', 'x']",0.3,m1,0,na,1000000,853140,2761,5178,0,0.85314,0.0032362800947089987,0,157.69108786806464
4,x,7,"['z', 'x', 'z', 'x']",0.1,m1,0,na,1000000,955402,943,1834,0,0.955402,0.000987019076786555,0,97.47133473795839
4,x,6,"['x', 'x', 'z', 'x']",0.5,m1,0,na,1000000,643422,2691,5148,0,0.643422,0.004182325130318798,0,363.7622767460998
4,z,7,"['x', 'z', 'z', 'x']",1,normal,0,na,1000000,394261,11146,19661,0,0.394261,0.02827061261448638,0,272.5545495139668
4,x,6,"['x', 'x', 'z', 'x']",0.1,m1,0,na,1000000,913413,432,842,0,0.913413,0.0004729514469358209,0,337.05124791292474
4,x,6,"['x', 'x', 'z', 'x']",0.15,m1,0,na,1000000,871109,683,1334,0,0.871109,0.0007840580225896288,0,374.35302442102693
4,x,6,"['x', 'x', 'z', 'x']",0.3,m1,0,na,1000000,745523,1334,2579,0,0.745523,0.001789347880615355,0,456.42536016297527
4,z,7,"['x', 'z', 'z', 'x']",0.9,normal,0,na,1000000,429711,8384,15337,0,0.429711,0.019510787482750036,0,365.9320681008976
4,z,6,"['z', 'x', 'z', 'x']",1,normal,0,na,1000000,579239,13905,24360,0,0.579239,0.024005634979688883,0,537.8589142209385
4,z,6,"['z', 'x', 'z', 'x']",0.9,normal,0,na,1000000,585067,11940,21027,0,0.585067,0.02040791909302697,0,509.82046196796
4,z,7,"['x', 'z', 'z', 'x']",0.7,normal,0,na,1000000,471529,6510,11800,0,0.471529,0.013806149780819399,0,500.52502414397895
4,z,6,"['z', 'x', 'z', 'x']",0.5,normal,0,na,1000000,721560,7648,14001,0,0.72156,0.010599257165031295,0,566.7002346470254
4,z,7,"['x', 'z', 'z', 'x']",0.5,normal,0,na,1000000,581346,3848,7266,0,0.581346,0.006619121831061059,0,466.5212599670049
4,z,6,"['z', 'x', 'z', 'x']",0.7,normal,0,na,1000000,667230,7856,14035,0,0.66723,0.011774050926966706,0,654.3325255831005
4,z,7,"['x', 'z', 'z', 'x']",0.3,normal,0,na,1000000,730978,2386,4582,0,0.730978,0.0032641201239982376,0,557.061055075028
4,z,6,"['z', 'x', 'z', 'x']",0.3,normal,0,na,1000000,845775,2428,4581,0,0.845775,0.00287073985398012,0,565.6707724119769
4,z,6,"['z', 'x', 'z', 'x']",1,m1,0,na,1000000,631709,14720,26305,0,0.631709,0.02330186842359383,0,372.05640936107375
4,z,6,"['z', 'x', 'z', 'x']",0.15,normal,0,na,1000000,916891,1378,2643,0,0.916891,0.0015029049254491333,0,688.968964469037
4,z,7,"['x', 'z', 'z', 'x']",0.15,normal,0,na,1000000,851764,530,1027,0,0.851764,0.000622238084727722,0,601.361324740923
4,z,6,"['z', 'x', 'z', 'x']",0.1,normal,0,na,1000000,930912,537,1044,0,0.930912,0.0005768536660822887,0,509.91928964992985
4,z,7,"['x', 'z', 'z', 'x']",0.1,normal,0,na,1000000,905086,946,1856,0,0.905086,0.0010452045440986213,0,500.1229140050709
4,z,6,"['z', 'x', 'z', 'x']",0.9,m1,0,na,1000000,571600,11016,19981,0,0.5716,0.019272218334499658,0,338.45525333902333
4,z,7,"['x', 'z', 'z', 'x']",0.9,m1,0,na,1000000,500419,12554,22279,0,0.500419,0.0250869771131792,0,354.16860475495923
4,z,6,"['z', 'x', 'z', 'x']",0.7,m1,0,na,1000000,715918,7257,13490,0,0.715918,0.010136635759961377,0,297.91364176990464
4,z,7,"['x', 'z', 'z', 'x']",1,m1,0,na,1000000,443069,10809,19048,0,0.443069,0.024395748743423762,0,545.7639475379838
4,z,7,"['x', 'z', 'z', 'x']",0.3,m1,0,na,1000000,780601,2178,4185,0,0.780601,0.0027901578399207594,0,277.76849087595474
4,z,7,"['x', 'z', 'z', 'x']",0.7,m1,0,na,1000000,503937,5406,9952,0,0.503937,0.01072753141761773,0,531.4228143590735
4,z,7,"['x', 'z', 'z', 'x']",0.15,m1,0,na,1000000,871820,1762,3381,0,0.87182,0.002021059392994018,0,317.7807954970049
4,z,6,"['z', 'x', 'z', 'x']",0.5,m1,0,na,1000000,799641,4750,8949,0,0.799641,0.005940165649335194,0,471.12226039904635
4,z,6,"['z', 'x', 'z', 'x']",0.15,m1,0,na,1000000,932106,766,1491,0,0.932106,0.0008217949460683771,0,378.0514333680039
4,z,7,"['x', 'z', 'z', 'x']",0.5,m1,0,na,1000000,624723,4930,9133,0,0.624723,0.007891497511697154,0,478.5188534739427
4,z,6,"['z', 'x', 'z', 'x']",0.3,m1,0,na,1000000,868165,2264,4285,0,0.868165,0.0026077992086758206,0,430.71606530307326
4,z,7,"['x', 'z', 'z', 'x']",0.1,m1,0,na,1000000,913220,789,1556,0,0.91322,0.0008639758218172977,0,312.2120190829737
4,z,6,"['z', 'x', 'z', 'x']",0.1,m1,0,na,1000000,930466,150,295,0,0.930466,0.00016120954446485758,0,372.50145061605144
