n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.3,m1,0,na,100000,35861,42,79,0,0.35861,0.0011711887565879486,0,51.45865595666692
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.3,normal,0,na,100000,28842,52,97,0,0.28842,0.0018029262880521202,0,54.23412120528519
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.3,m1,0,na,100000,33782,52,104,0,0.33782,0.0015392812740512296,0,55.71365412697196
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.15,normal,0,na,100000,53900,12,24,0,0.539,0.00022263450834880683,0,57.059089893940836
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.15,m1,0,na,100000,51442,28,53,0,0.51442,0.000544302321060619,0,57.327828891109675
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.1,m1,0,na,100000,68888,17,34,0,0.68888,0.0002467773777725668,0,57.435081203933805
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.15,m1,0,na,100000,59286,35,70,0,0.59286,0.0005903586006814621,0,58.943371869158
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.3,normal,0,na,100000,28499,35,66,0,0.28499,0.0012281132671321249,0,59.08019215799868
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.1,normal,0,na,100000,69939,15,26,0,0.69939,0.00021447261184748267,0,59.537317582871765
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.1,m1,0,na,100000,73279,26,51,0,0.73279,0.0003548083352665765,0,61.92526829475537
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.15,normal,0,na,100000,47301,19,38,0,0.47301,0.00040168283968622376,0,63.155300536192954
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.1,normal,0,na,100000,62139,12,24,0,0.62139,0.00019311543475108994,0,73.42945799604058
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.1,m1,0,na,100000,93576,0,1,0,0.93576,0.0,0,43.33311430783942
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.15,m1,0,na,100000,86747,0,0,0,0.86747,0.0,0,35.767196151893586
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.3,m1,0,na,100000,85055,10,21,0,0.85055,0.00011757098348130768,0,34.21069980179891
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.3,m1,0,na,100000,84103,4,6,0,0.84103,4.756072910594433e-05,0,32.577720859088004
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.1,normal,0,na,100000,91942,0,0,0,0.91942,0.0,0,34.53769332682714
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.15,normal,0,na,100000,93613,0,0,0,0.93613,0.0,0,35.0378703949973
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.15,normal,0,na,100000,90992,0,0,0,0.90992,0.0,0,32.8675188049674
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.3,normal,0,na,100000,50480,2,3,0,0.5048,3.961965134702261e-05,0,36.1185709037818
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.3,normal,0,na,100000,74297,10,17,0,0.74297,0.00013459493653844579,0,42.55231623770669
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.1,m1,0,na,100000,93699,0,0,0,0.93699,0.0,0,50.91081467131153
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.15,m1,0,na,100000,93003,0,0,0,0.93003,0.0,0,46.29219005582854
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.1,normal,0,na,100000,95175,0,0,0,0.95175,0.0,0,45.0914642768912
