,seed_list
0,43072455
1,13093981
2,6681423
3,30318914
4,81932579
5,43784062
6,12579036
7,27499129
8,37419111
9,68994091
10,88374582
11,97269802
12,23177064
13,27050821
14,3704156
15,39332596
16,6450143
17,50563206
18,63050194
19,55129354
20,83472477
21,41084973
22,36789065
23,18251811
24,76564592
25,76088375
26,15242636
27,59404923
28,73072087
29,99884607
30,29681889
31,87906836
32,61746101
33,17896346
34,49304886
35,81843521
36,85233584
37,35652640
38,29929467
39,30069198
40,60247831
41,27184908
42,42253574
43,30432195
44,75156340
45,3335704
46,28668717
47,21050817
48,89280177
49,21336944
50,7070840
51,98725799
52,89128388
53,99757921
54,24434380
55,29338492
56,51028179
57,46486564
58,88372134
59,93978519
60,93344150
61,43798622
62,30300510
63,44183967
64,26833663
65,48473789
66,8381933
67,14771986
68,93707869
69,84551094
70,16388704
71,70383209
72,60175135
73,55289144
74,95168831
75,45554940
76,55332141
77,55056058
78,76593902
79,29202158
80,31422621
81,70482926
82,92250130
83,44502118
84,69939293
85,55707623
86,73766243
87,74080616
88,33651428
89,50654887
90,28260884
91,20473622
92,14754176
93,21632432
94,78299103
95,31746338
96,5825847
97,44532431
98,70790022
99,45008148
100,61923675
101,93347733
102,14998205
103,7571001
104,4615380
105,47755553
106,33456154
107,49590630
108,31650608
109,34151663
110,93328555
111,70190117
112,831853
113,20842737
114,48746517
115,21557446
116,25778135
117,5819801
118,17067099
119,98775345
120,20219385
121,85258869
122,19710588
123,45099019
124,766517
125,13510543
126,547214
127,22176591
128,80744565
129,70305990
130,6592364
131,5045297
132,56090386
133,6493535
134,85403930
135,93259768
136,24724210
137,97175163
138,84844453
139,45180344
140,24836212
141,1488700
142,9821642
143,36812217
144,17520686
145,38984997
146,40258712
147,63980720
148,95112010
149,82455616
150,58688262
151,51032759
152,91122295
153,4889193
154,4349716
155,27884675
156,37744765
157,9755972
158,33382640
159,93012923
160,28209736
161,62154401
162,86400733
163,86166495
164,99627293
165,53310199
166,22563875
167,44006543
168,89692983
169,68474488
170,31093739
171,49690346
172,20738946
173,76299000
174,8188491
175,1344248
176,13293267
177,75934910
178,78009243
179,88580688
180,76599605
181,61187552
182,35372899
183,74951809
184,83366900
185,49410525
186,50062360
187,49246935
188,27503999
189,8955658
190,24262828
191,31269643
192,8898570
193,37282917
194,49088924
195,9416788
196,58690444
197,4960890
198,39436705
199,84315195
200,30750885
201,54325067
202,41167937
203,43410458
204,19199286
205,59446950
206,50686608
207,65662521
208,35027083
209,29660784
210,32238711
211,2588396
212,28079589
213,10779754
214,49426954
215,37315928
216,84447470
217,89786746
218,65980500
219,35819417
220,15038117
221,86031849
222,25397293
223,43648482
224,18986774
225,10434567
226,4539163
227,77305587
228,80724125
229,43427199
230,44968937
231,85117708
232,35599756
233,53856720
234,12499877
235,98630546
236,69547182
237,82823550
238,91632244
239,74797801
240,37168084
241,30303876
242,73839681
243,97749619
244,95402427
245,11986697
246,35603234
247,72165718
248,52339214
249,19121818
250,47519606
251,88379262
252,64281796
253,68879879
254,3844106
255,31564900
256,20089490
257,68415521
258,50499627
259,25624085
260,8042821
261,23345745
262,43910439
263,28481699
264,41061609
265,89528413
266,19069055
267,17541762
268,11601889
269,16708060
270,45351310
271,95563898
272,91593596
273,74882321
274,61318782
275,21422814
276,61690215
277,57756831
278,49217889
279,62294028
280,52156055
281,41111461
282,96606108
283,2538100
284,55010894
285,60952156
286,55626397
287,25307447
288,28682365
289,8163906
290,91465215
291,91763305
292,743813
293,47250811
294,7077130
295,91320484
296,63536967
297,86535072
298,420759
299,36213052
300,778808
301,57191426
302,95280190
303,8665106
304,82266490
305,74418981
306,66287986
307,67847863
308,4498027
309,68254509
310,28608014
311,80294844
312,5066559
313,81020797
314,6600564
