,seed_list
0,83958584
1,53217608
2,13085192
3,40875122
4,33854371
5,34694716
6,88374200
7,39525550
8,24372444
9,31166038
10,46246397
11,80166378
12,86191728
13,57075135
14,21326203
15,58224764
16,78583822
17,24983417
18,25626987
19,932365
20,22939666
21,88084816
22,83956835
23,25394984
24,22027453
25,78006972
26,47676855
27,76243644
28,16737547
29,643353
30,68304426
31,33324765
32,60642113
33,59665099
34,38201256
35,58401567
36,98207247
37,73431507
38,86420832
39,3146544
40,32147944
41,23811674
42,68872931
43,11821406
44,34547070
45,53060708
46,74115768
47,26667846
48,9627520
49,58792426
50,56607775
51,47579973
52,51537352
53,40180318
54,90723863
55,30266582
56,36272639
57,94054272
58,91951516
59,21353189
60,51120701
61,98157060
62,64356555
63,68119918
64,62518734
65,75039024
66,64504375
67,24430520
68,55735802
69,31833000
70,35951528
71,84851135
72,17670049
73,4260192
74,71618310
75,2074471
76,52581223
77,6161276
78,67511779
79,98626527
80,23968021
81,17583045
82,41903215
83,37334879
84,9158406
85,13660303
86,53939646
87,45825164
88,49303026
89,26585863
90,57066787
91,19893618
92,20755985
93,68935547
94,56618510
95,5283733
96,12489272
97,91281484
98,73303272
99,12615192
100,20786289
101,32611432
102,10747296
103,40478803
104,84813935
105,22833085
106,49322138
107,18569649
108,35581288
109,72991586
110,8848852
111,24841528
112,8226211
113,61944919
114,69026062
115,37379806
116,18996416
117,64595474
118,7872436
119,68495069
120,81417372
121,40212862
122,22970169
123,15914035
124,32979515
125,96446110
126,64284913
127,99504464
128,6720468
129,89147088
130,55299748
131,53378017
132,75100647
133,83527546
134,8468957
135,78938673
136,64795302
137,58173706
138,87853860
139,36431116
140,98424577
141,69922723
142,38275938
143,84338613
144,28090426
145,47887518
146,71207132
147,15988930
148,94559793
149,91416017
150,5980464
151,47612668
152,49270391
153,23036366
154,98035286
155,98549223
156,36488636
157,66207300
158,52470003
159,92299636
160,54156765
161,68519538
162,26275849
163,27355897
164,24843354
165,9319295
166,71580306
167,94515739
168,71245543
169,87034158
170,52421284
171,95181880
172,16024138
173,66140244
174,27242812
175,44587045
176,69205918
177,15193223
178,79346062
179,3396142
180,49714167
181,56347339
182,12286897
183,59591083
184,18012634
185,53210673
186,88912924
187,37505148
188,33223970
189,16257496
190,9021668
191,40880641
192,72815069
193,26973391
194,44191241
195,92795809
196,57997447
197,7587358
198,37894255
199,94328312
200,55777460
201,69018636
202,18012753
203,76523748
204,21099961
205,43135457
206,42282918
207,19584948
208,35677930
209,27149942
210,85073048
211,51135490
212,6860058
213,77984073
214,46429431
215,65195127
216,55931250
217,58755452
218,78767210
219,12167053
220,91722715
221,69584465
222,9996578
223,68449076
224,86733595
225,9920572
226,98136067
227,16351266
228,33443847
229,63101243
230,5039520
231,98457148
232,99466385
233,91566615
234,39466668
235,93613294
236,50965374
237,25068332
238,92427522
239,96612071
240,6928682
241,26480894
242,38482494
243,35003164
244,82603285
245,45135893
246,54956441
247,56985822
248,42725387
249,41673305
250,24840252
251,44234712
252,38077168
253,84634003
254,44621680
255,54633993
256,7173502
257,45561306
258,2047052
259,95561579
260,68603838
261,11441891
262,18489474
263,59549269
264,101791
265,90095647
266,98027392
267,95670948
268,23362140
269,74477660
270,18268659
271,36921362
272,26134168
273,17495144
274,78019791
275,51821830
276,5516055
277,5500542
278,18801446
279,85191450
280,78853283
281,4967194
282,42831234
283,12367362
284,1591845
285,41079097
286,57835868
287,44562094
288,62534167
289,21993209
290,12917270
291,98365677
292,48967771
293,44105205
294,23511341
295,51788092
296,6915198
297,11810356
298,92135244
299,56799
300,14542884
301,48946152
302,5894166
303,8952050
304,14553020
305,83310117
306,38182517
307,6086547
308,85648491
309,80806942
310,17133604
311,23686589
312,68958657
313,98715329
314,98891615
315,45643901
316,51677526
317,85498288
318,87673464
319,23525380
320,31976349
321,37857893
322,17841486
323,79585556
324,87635558
325,56842697
326,19778972
327,77184319
328,51478500
329,24956167
330,94143470
331,18836998
332,70431023
333,75704955
334,13876996
335,66190555
336,66516483
337,99692208
338,4824695
339,90128169
340,98718172
341,78716299
342,75491710
343,32031838
344,57439635
345,13357620
346,24135857
347,35780148
348,79036628
349,39074413
350,37339602
351,29350556
352,35579903
353,60466127
354,33531244
355,358017
356,82745343
357,32829391
358,19407514
359,23314612
360,51156269
361,40137748
362,57787365
363,62000444
364,17913515
365,81329877
366,85613561
367,3788608
368,29425469
369,80170426
370,26950804
371,42435132
372,43556992
373,81250729
374,15944411
375,55809629
376,31502901
377,25389351
378,7468695
379,10368496
380,77824196
381,94749336
382,67283899
383,53338839
384,10388853
385,11472757
386,78963305
387,87590189
388,34471683
389,28078775
390,54426359
391,99455746
392,91401442
393,26065728
394,99591022
395,57747750
396,75572110
397,45748746
398,3377693
399,28574715
400,62989147
401,6730514
402,74304892
403,31435299
404,30601446
405,29604069
406,1117657
407,22005677
408,59060809
409,8514246
410,28258958
411,23011406
412,94744876
413,30347738
414,87661971
415,70249599
416,83084201
417,73171435
418,92569589
419,27239397
420,92574633
421,21449321
422,12823798
423,93797268
424,5158357
425,39982451
426,23756411
427,71526574
428,23313827
429,70770596
430,38659704
431,58111943
432,95979009
433,1078331
434,13962683
435,14500381
436,15055934
437,92733123
438,40115776
439,88521568
440,85151863
441,73207372
442,91559605
443,45616035
444,88418448
445,79409464
446,8178123
447,71266289
448,4298223
449,26759974
450,41934673
451,72875780
452,96663655
453,37333002
454,31286248
455,40877611
456,84744964
457,63364474
458,15958303
459,39840306
460,41517565
461,1641005
462,41488106
463,15908187
464,33745214
465,57393923
466,65032599
467,91121701
468,24047563
469,31585083
470,73280442
471,66520041
472,43391038
473,19334964
474,22294392
475,61862448
476,69306917
477,55418467
478,51289642
479,34161630
480,40295085
481,98039172
482,71988590
483,94234645
484,11852838
485,40378591
486,88315771
487,1945236
488,97062443
489,94695181
490,27782919
491,13818663
492,29637373
493,74444508
494,82473927
495,11661621
496,29985529
497,45586129
498,54570159
499,3611997
500,65442809
501,77386807
502,24279825
503,48140142
504,21308769
505,36015307
506,19332897
507,37096209
508,74917004
509,78125111
510,29052537
511,82909398
512,9514137
513,2174531
514,4221768
515,82163418
516,34895284
517,84682909
518,78170710
519,57114689
520,11824779
521,84789145
522,74931306
523,54490635
524,10516592
525,83523661
526,34915032
527,84338475
528,35148385
529,51869705
530,46077955
531,61107463
532,83563685
533,98926060
534,67286693
535,5072676
536,25874704
537,37440928
538,70929162
539,43275985
540,67760397
541,88235646
542,18077661
543,65335324
544,27520300
545,11284709
546,57735139
547,87436988
548,36631267
549,76323820
550,83739429
551,50936078
552,97687066
553,72148690
554,15878908
555,37887781
556,10292369
557,26661224
558,17443096
559,81611704
560,47459687
561,81827811
562,42719677
563,82459320
564,56901972
565,73734873
566,80037114
567,76013644
568,45285597
569,19656129
570,61485230
571,72046857
572,84960535
573,69417352
574,64700914
575,41504019
576,13810651
577,16363193
578,83923241
579,87265742
580,1054913
581,11865157
582,19462315
583,37172180
584,71943171
585,81929233
586,40671390
587,94604468
588,63177352
589,25451129
590,60049825
591,32976837
592,49920851
593,45661127
594,47806406
595,41324462
596,99081826
597,64814948
598,39184988
599,27592087
600,36291449
601,2804343
602,64796555
603,93503580
604,88000299
605,91266813
606,82052978
607,76709142
608,24241222
609,40582695
610,40433082
611,35911821
612,98379524
613,24082017
614,98687554
615,45425748
616,40986589
617,8724720
618,77695268
619,35316542
620,65399945
621,68768615
622,38034679
623,38291671
624,38155415
625,89756621
626,66643215
627,87648932
628,40291691
629,76930346
630,24087008
631,97317297
632,18017306
633,93856518
634,65653492
635,28984772
636,8857870
637,4003832
638,30835302
639,73343472
640,63397969
641,60347803
642,96982796
643,63268221
644,27325197
645,89266248
646,48867751
647,63208915
648,81221264
649,36555404
650,55401305
651,1133168
652,141392
653,44405104
654,74528943
655,12453872
656,33578288
657,21137687
658,41105040
659,59972034
660,25040935
661,80636797
662,50012980
663,95589501
664,23778745
665,50239780
666,31781269
667,80410425
668,60835606
669,55847414
670,31664178
671,94648664
672,22140518
673,11493170
674,97361729
675,55063683
676,85413450
677,29980650
678,77171707
679,67542014
680,31887765
681,22469934
682,36533222
683,82376228
684,78240924
685,65582762
686,44965066
687,56759028
688,81398585
689,74327420
690,11345542
691,14491133
692,33202051
693,92136176
694,21511298
695,28463572
696,30920236
697,97409760
698,54938033
699,53534053
700,22445611
701,35331245
702,9540875
703,46862030
704,77914266
705,2484928
706,7264895
707,83941100
708,62268330
709,25653839
710,45911181
711,85325287
712,76016020
713,83707439
714,65907010
715,98310928
716,33889070
717,995808
718,26750111
719,2996817
720,82101724
721,6917820
722,17599853
723,14310036
724,56234250
725,3715490
726,85741550
727,9333262
728,64442537
729,8669212
730,29643263
731,80157339
732,50996497
733,93921545
734,67970164
735,41467790
736,43646327
737,69438891
738,42665160
739,99642496
740,70868264
741,68997628
742,5247731
743,19322503
744,54611952
745,42023810
746,96436822
747,73469859
748,1059362
749,6398492
750,22302105
751,89683148
752,61438329
753,3154895
754,50774137
755,43926955
756,21408612
757,79805797
758,72923512
759,91026466
760,19793038
761,81003536
762,81872396
763,13683151
764,55890287
765,92283802
766,1037030
767,13531482
768,11649844
769,12679118
770,2715057
771,90199883
772,28440292
773,20660435
774,97591794
775,43409088
776,24809918
777,40296198
778,38984516
779,99655358
780,36733424
781,66702316
782,88700894
783,77817569
784,29202131
785,42202297
786,25225276
787,35092626
788,45213863
789,51961629
790,19224687
791,37594451
792,80627131
793,74062379
794,28353074
795,29670535
796,70618494
797,66508921
798,50913544
799,24097223
800,43325847
801,89606702
802,74086385
803,54831878
804,38715906
805,19373186
806,11350185
807,73008445
808,8389454
809,64246153
810,66218040
811,26133743
812,90875647
813,72609307
814,85955639
815,25915929
816,39464310
817,36201242
818,31063301
819,1852054
820,90360772
821,79083598
822,60631359
823,24276911
824,69767667
825,84431803
826,9855188
827,47509169
828,29181723
829,19716762
830,73822491
831,49912079
832,11472523
833,13220299
834,9259892
835,32555563
836,23181624
837,68557513
838,56967082
839,91006765
840,32842390
841,28069646
842,26152973
843,33944569
844,61059725
845,4184702
846,24309978
847,25573365
848,96606237
849,35784277
850,46787708
851,49344072
852,49263783
853,6314111
854,99029692
855,8622482
856,23965485
857,22571954
858,32189369
859,2840829
860,44641238
861,26726701
862,81598839
863,77518580
864,54401442
865,35029428
866,6657308
867,90537845
868,52841963
869,82034610
870,7727783
871,86965407
872,17803698
873,86090124
874,61938835
875,477419
876,2072139
877,1982860
878,40610133
879,98765998
880,91226928
881,96347188
882,79295187
883,29214679
884,18523403
885,24900534
886,33342781
887,49571383
888,84969786
889,41575430
890,62669800
891,87928096
892,72400618
893,42411430
894,30045229
895,49041714
896,84351359
897,79082401
898,97782365
899,64439081
900,57039319
901,65718809
902,38626464
903,54758322
904,55391398
905,82059451
906,65630911
907,59129708
908,28268480
909,11414751
910,31241598
911,97273602
912,1930849
913,4012444
914,43932306
915,18677844
916,42536667
917,74165961
918,77511620
919,44208921
920,32982531
921,23375420
922,51915309
923,62424248
924,69075929
925,39925486
926,18736337
927,5372153
928,17522209
929,98057915
930,75909885
931,2891767
932,29083810
933,13182939
934,45321290
935,64693641
936,91532311
937,11996897
938,48834842
939,13811206
940,44484506
941,22443824
942,57893858
943,4361965
944,34821879
945,1931565
946,54779336
947,68188184
948,87726995
949,45021487
950,7563766
951,5975431
952,94072870
953,54760972
954,77372044
955,6603579
956,82569653
957,58257956
958,60750697
959,42423927
960,51163755
961,46093273
962,72119288
963,91048542
964,79881878
965,3360707
966,7586725
967,29893648
968,70486839
969,69005072
970,59818030
