,seed_list
0,8568021
1,2276489
2,8227593
3,103607
4,1350823
5,5442633
6,551938
7,442870
8,9940179
9,8003623
10,9167973
11,7621303
12,8292370
13,5901243
14,7292128
15,3382053
16,1203483
17,4222844
18,2655865
19,4374741
20,6040303
21,6171135
22,3297471
23,2315422
24,6457806
25,3781851
26,4183642
27,4314405
28,2297785
29,9469600
30,935914
31,4904061
32,1758858
33,6044175
34,5237904
35,5144352
36,6769439
37,9418556
38,2616924
39,9326489
40,6743403
41,3340261
42,2102772
43,2755135
44,1982385
45,2113807
46,4858350
47,4465880
48,4947094
49,6415254
50,5594767
51,5244185
52,48990
53,1713516
54,9163427
55,6687335
56,7357410
57,1871846
58,7532147
59,6460486
60,6233191
61,7471244
62,8086684
63,5164712
64,698494
65,8463438
66,6306966
67,6382889
68,6406513
69,5875591
70,3702117
71,4668196
72,187015
73,1305909
74,3501520
75,4678239
76,937708
77,7052446
78,456665
79,3595
80,8584595
81,4008462
82,7966027
83,5314836
84,1643725
85,8915141
86,3640213
87,5766073
88,7149682
89,8250181
90,6005957
91,7293233
92,8228858
93,6294448
94,3052985
95,9142553
96,8552589
97,8862153
98,6178028
99,2253141
100,2179536
101,4794173
102,3073296
103,4192612
104,90368
105,9717901
106,6415161
107,5626000
108,9008119
109,9954474
110,5766150
111,8833120
112,651867
113,5873917
114,3924403
115,7532512
116,7484397
117,3463892
118,8803891
119,6743851
120,9078774
121,9534708
122,8049260
123,8391988
124,1186548
125,6805519
126,9636246
127,8629509
128,4035986
129,7068629
130,8061424
131,6822688
132,3415576
133,574214
134,3860497
135,9500448
136,8061220
137,8750587
138,9071039
139,6517551
140,4339248
141,8153591
142,9234273
143,3464100
144,4597539
145,8548497
146,5086009
147,9918534
148,5772544
149,4441097
150,5855011
151,5685742
152,1599167
153,2207190
154,1702707
155,7952551
156,1869930
157,4367381
158,2019766
159,4789674
160,2676459
161,5436289
162,8639064
163,7927963
164,2700667
165,90478
166,7850435
167,7818747
168,4782284
169,362641
170,9277228
171,3353551
172,9566802
173,5887193
174,8812923
175,4879158
176,8275021
177,6416604
178,6851486
179,6649325
180,8481517
181,1587444
182,451783
183,524704
184,3717853
185,6845549
186,9817666
187,2236581
188,7514039
189,5227721
190,883717
191,7725773
192,5295526
193,9717607
194,4347130
195,9787814
196,5052440
197,2634433
198,7756645
199,6537021
200,300114
201,5917512
202,9426421
203,9043490
204,6972372
205,7062034
206,9422823
207,8083321
208,8765984
209,3990732
210,9556072
211,4822338
212,4386424
213,5457046
214,8133256
215,4336572
216,4760675
217,5461021
218,1941635
219,9396292
220,4128276
221,1335438
222,8946480
223,3799617
224,226841
225,240441
226,4868948
227,8535923
228,7494839
229,9074409
230,6683056
231,2306194
232,6744446
233,4900855
234,2019639
235,2458582
236,4642585
237,841514
238,7429430
239,1279941
240,5590244
241,7237590
242,7924377
243,3499406
244,2837605
245,9008367
246,6494220
247,4145214
248,8203249
249,3630629
250,3019837
251,7942328
252,1411687
253,1865080
254,2288186
255,305981
256,3093680
257,3429274
258,6472017
259,3059595
260,7523154
261,7217673
262,1241899
263,1035795
264,5382907
265,6551182
266,6622897
267,5556475
268,3186440
269,1001452
270,4335666
271,3672672
272,3966540
273,3799654
274,7461376
275,6226370
276,1282769
277,5851761
278,4401230
279,5170024
280,5606644
281,5462886
282,4553301
283,1356024
284,9691487
285,2551810
286,2750147
287,1962514
288,6889295
289,295881
290,7335117
291,6861430
292,7242844
293,4033612
294,9179624
295,5677726
296,835557
297,7375273
298,6363912
299,5373823
300,7370800
301,9652146
302,7228774
303,297649
304,1905247
305,7393273
306,8416389
307,1588768
308,680459
309,9414150
310,4929608
311,2455465
312,1893773
313,2162687
314,9436755
315,7411747
316,1724146
317,8339739
318,1728798
319,822612
320,2070687
321,6421626
322,1540185
323,9546085
324,7273714
325,8826930
326,2649995
327,9200160
328,6012655
329,5867716
330,3101747
331,8277725
332,7760350
333,7861886
334,2062704
335,6804997
336,4714203
337,1580726
338,4910094
339,7619356
340,2629420
341,8500463
342,2426114
343,6108027
344,2135239
345,6866640
346,2414080
