,circuit_name,type,error_scale,count_accepted,prep_rate,success_rate,ler,total_discard,shots
0,polar_all_meas_n4_z,normal,0.1,5372,0.8953333333333333,0.9992553983618764,0.0007446016381236209,0.0,6000
1,polar_all_meas_n4_z,dynamic,0.1,4386,0.8930971288943189,0.9981760145918832,0.0018239854081167906,0.0178,4911
2,polar_all_meas_n4_z,normal,0.2,4000,0.8,0.9985,0.0014999999999999458,0.0,5000
3,polar_all_meas_n4_z,dynamic,0.2,3860,0.799668531178786,0.9968911917098445,0.0031088082901554737,0.0346,4827
4,polar_all_meas_n4_z,normal,0.3,3584,0.7168,0.9977678571428571,0.0022321428571429047,0.0,5000
5,polar_all_meas_n4_z,dynamic,0.3,3362,0.7107822410147991,0.991076740035693,0.008923259964306984,0.054,4730
6,polar_all_meas_n4_z,normal,0.4,3228,0.6456,0.9959727385377943,0.004027261462205667,0.0,5000
7,polar_all_meas_n4_z,dynamic,0.4,2987,0.6389304812834224,0.9866086374288584,0.013391362571141596,0.065,4675
8,polar_all_meas_n4_z,normal,0.5,2907,0.5814,0.9924320605435156,0.007567939456484374,0.0,5000
9,polar_all_meas_n4_z,dynamic,0.5,2590,0.5646391977327229,0.9814671814671815,0.018532818532818518,0.0826,4587
10,polar_all_meas_n4_z,normal,0.6,2635,0.527,0.9886148007590133,0.011385199240986688,0.0,5000
11,polar_all_meas_n4_z,dynamic,0.6,2341,0.5172337604949182,0.9769329346433149,0.023067065356685124,0.0948,4526
12,polar_all_meas_n4_z,normal,0.7,2389,0.4778,0.9866052741732942,0.013394725826705756,0.0,5000
13,polar_all_meas_n4_z,dynamic,0.7,2100,0.47011417058428473,0.9704761904761905,0.029523809523809508,0.1066,4467
14,polar_all_meas_n4_z,normal,0.8,2157,0.4314,0.9819193324061196,0.018080667593880384,0.0,5000
15,polar_all_meas_n4_z,dynamic,0.8,1894,0.43104233045061446,0.9646251319957762,0.03537486800422385,0.1212,4394
16,polar_all_meas_n4_z,normal,0.9,1976,0.3952,0.979757085020243,0.020242914979757054,0.0,5000
17,polar_all_meas_n4_z,dynamic,0.9,1672,0.38632162661737524,0.9455741626794258,0.054425837320574155,0.1344,4328
18,polar_all_meas_n4_z,normal,1.0,1823,0.3646,0.9747668678003292,0.025233132199670827,0.0,5000
19,polar_all_meas_n4_z,dynamic,1.0,1527,0.3559440559440559,0.9397511460379829,0.06024885396201707,0.142,4290
