Qubit,Error_Rate
"(0, 1)",0.0023802085439501297
"(0, 15)",0.002908830152718783
"(1, 0)",0.0023802085439501297
"(1, 2)",0.0027979827785382383
"(2, 1)",0.0027979827785382383
"(2, 3)",0.001956400288789073
"(3, 2)",0.001956400288789073
"(3, 4)",0.0060205230957117994
"(4, 3)",0.0060205230957117994
"(4, 5)",0.009121203027377095
"(4, 16)",0.0019285482126663034
"(5, 4)",0.009121203027377095
"(5, 6)",0.009342936287603132
"(6, 5)",0.009342936287603132
"(6, 7)",0.002511795721123672
"(7, 6)",0.002511795721123672
"(7, 8)",0.0022532819975419893
"(8, 7)",0.0022532819975419893
"(8, 9)",0.002383933398623167
"(8, 17)",0.002644316197649099
"(9, 8)",0.002383933398623167
"(9, 10)",0.005450224130939874
"(10, 9)",0.005450224130939874
"(10, 11)",0.00481726889513559
"(11, 10)",0.00481726889513559
"(11, 12)",0.003733039345540534
"(12, 11)",0.003733039345540534
"(12, 13)",0.0015890360179992014
"(12, 18)",0.001410391802738914
"(13, 12)",0.0015890360179992014
"(13, 14)",0.0019281101384222565
"(14, 13)",0.0019281101384222565
"(15, 0)",0.002908830152718783
"(15, 19)",0.02337636569013274
"(16, 4)",0.0019285482126663034
"(16, 23)",0.0030447609688467603
"(17, 8)",0.002644316197649099
"(17, 27)",0.003485394193562641
"(18, 12)",0.001410391802738914
"(18, 31)",0.010306809784102394
"(19, 15)",0.02337636569013274
"(19, 20)",0.03479051488973453
"(20, 19)",0.03479051488973453
"(20, 21)",1
"(21, 20)",1
"(21, 22)",0.008394773623909502
"(21, 34)",0.0036145969426795155
"(22, 21)",0.008394773623909502
"(22, 23)",0.005429816021171929
"(23, 16)",0.0030447609688467603
"(23, 22)",0.005429816021171929
"(23, 24)",0.0016255036694095004
"(24, 23)",0.0016255036694095004
"(24, 25)",0.0019774313953690725
"(25, 24)",0.0019774313953690725
"(25, 26)",0.001361288223889645
"(25, 35)",0.004161395321756828
"(26, 25)",0.001361288223889645
"(26, 27)",0.0015219367331771316
"(27, 17)",0.003485394193562641
"(27, 26)",0.0015219367331771316
"(27, 28)",0.0019580550247961237
"(28, 27)",0.0019580550247961237
"(28, 29)",0.0026897539540650106
"(29, 28)",0.0026897539540650106
"(29, 30)",0.002139889794087052
"(29, 36)",0.0019876727083795453
"(30, 29)",0.002139889794087052
"(30, 31)",0.002364408076099278
"(31, 18)",0.010306809784102394
"(31, 30)",0.002364408076099278
"(31, 32)",0.0029888701483850033
"(32, 31)",0.0029888701483850033
"(32, 33)",0.0019308454574831768
"(33, 32)",0.0019308454574831768
"(33, 37)",0.020286698270567338
"(34, 21)",0.0036145969426795155
"(34, 40)",0.0020415810262822687
"(35, 25)",0.004161395321756828
"(35, 44)",0.0025636310120417394
"(36, 29)",0.0019876727083795453
"(36, 48)",0.0019291384797669175
"(37, 33)",0.020286698270567338
"(37, 52)",0.015662499701195126
"(38, 39)",0.0023164722206893695
"(38, 53)",1
"(39, 38)",0.0023164722206893695
"(39, 40)",0.0019437203549349247
"(40, 34)",0.0020415810262822687
"(40, 39)",0.0019437203549349247
"(40, 41)",0.09141119412959886
"(41, 40)",0.09141119412959886
"(41, 42)",0.11731875243255026
"(42, 41)",0.11731875243255026
"(42, 43)",0.0021993857232309733
"(42, 54)",0.002729197770416386
"(43, 42)",0.0021993857232309733
"(43, 44)",0.005278789512519533
"(44, 35)",0.0025636310120417394
"(44, 43)",0.005278789512519533
"(44, 45)",0.006535908490052117
"(45, 44)",0.006535908490052117
"(45, 46)",0.003291209682251106
"(46, 45)",0.003291209682251106
"(46, 47)",0.0024524320956391954
"(46, 55)",0.0015834888277051762
"(47, 46)",0.0024524320956391954
"(47, 48)",0.0027438997871845616
"(48, 36)",0.0019291384797669175
"(48, 47)",0.0027438997871845616
"(48, 49)",0.0023439159996085923
"(49, 48)",0.0023439159996085923
"(49, 50)",0.0015910259244018565
"(50, 49)",0.0015910259244018565
"(50, 51)",0.0025043377476963447
"(50, 56)",0.01041406292247088
"(51, 50)",0.0025043377476963447
"(51, 52)",0.0024168928284503954
"(52, 37)",0.015662499701195126
"(52, 51)",0.0024168928284503954
"(53, 38)",1
"(53, 57)",1
"(54, 42)",0.002729197770416386
"(54, 61)",0.005409731413207913
"(55, 46)",0.0015834888277051762
"(55, 65)",0.0017818350933174743
"(56, 50)",0.01041406292247088
"(56, 69)",0.007942392607784204
"(57, 53)",1
"(57, 58)",0.0023747152955532203
"(58, 57)",0.0023747152955532203
"(58, 59)",0.00233629992115178
"(59, 58)",0.00233629992115178
"(59, 60)",0.0017496500046562669
"(59, 72)",0.0017272562735183294
"(60, 59)",0.0017496500046562669
"(60, 61)",0.006038656640113771
"(61, 54)",0.005409731413207913
