,list_key,list_value
0,110101110010111111111000000000000000000000000000,2
1,100011111101000101011110000000000000000000000000,3
2,001010101100111011100100000000000000000000000000,2
3,111011101100110100100011000000000000000000000000,4
4,001111001000101010110110000000000000000000000000,2
5,110000111100111000001101000000000000000000000000,1
6,010011001011001011111110000000000000000000000000,1
7,101001010000000010100101000000000000000000000000,1
8,001110100000110100110111000000000000000000000000,3
9,001000110110101001001001000000000000000000000000,1
10,100010000011100110110001000000000000000000000000,1
11,100110001101010101001101000000000000000000000000,2
12,111011001101110100110001000000000000000000000000,2
13,011110011000110111110100000000000000000000000000,1
14,000001111100100111001110000000000000001000000000,1
15,011001100010010001000010000000000000000000000000,2
16,101010111011100100010010000000000000000000000000,3
17,001100000111110001001100000000000000000000000000,3
18,001101000010000000010100000000000000000000000000,3
19,111000001000111001101110000000000000000000000000,1
20,001010111001010010111111000000000000000000000000,3
21,110101101011101001101100000000000000000000000000,4
22,000001100010100000101110000000000000000000000000,2
23,101001111110110001001011000000000000000000000000,2
24,010011001001111011010010000000000000000000000000,2
25,110001111000101101001100000000000000000000000000,4
26,101000000010110110001101000000000000000000000000,3
27,011000110111000100010010000000000000000000000000,1
28,110111011100000100011100000000000000000000000000,3
29,111101111001101001101101000000000000000000000000,2
30,101000001011110100011101000000000000000000000000,2
31,000011010111011101111010000000000000000000000000,1
32,000001101101010011010010000000000000000000000000,4
33,001110111101000111101010000000000000000000000000,2
34,101101011100100101111100000000000000000000000000,3
35,011001011101100110111100000000000000000000000000,2
36,011010110100110000100111000000000000000000000000,3
37,010001110001011001010001000000000000000000000000,1
38,101100101110110101011111000000000000010000000000,1
39,111011111010111101000000000000000000000000000000,2
40,101010000011111010010110000000000000000000000000,2
41,110010010011011011111111000000000000100000000000,1
42,000101111111100011101111000000000000000000000000,4
43,011100111111101110011000000000000000000000000000,1
44,000111010000011100011010000000000000000000000000,1
45,101101000101111011101010000000000000000000000000,2
46,000010011000010010001101000000000000000000000000,1
47,110000000000000011000000000000000000000000000000,2
48,100000111101101001011001000000000000000000000000,5
49,010110011100110010010101000000000000000000000000,1
50,110000001010110101101101000000000000000000000000,1
51,001000000010111000001110000000000000000000000000,3
52,000010010100010101001100000000000000000000000000,4
53,110111101011010101101011000000000000000000000000,2
54,000100100110011001110100000000000000000000000000,2
55,001001100011100000011110000000000000000000000000,3
56,101100000111000111000001000000000000000000000000,4
57,101111111010110100010010000000000000000000000000,3
58,011101100000001001110100000000000000000000000000,2
59,101111000011010010001000000000000000000000000000,2
60,100000011010111101101110000000000000000000000000,1
61,110101010011010111100000100000000000000000000000,1
62,101100101001110000101110000000000000000000000000,2
63,101111100110110011010011000000000000000000000000,1
64,101010111000111100100100000000000000000000000000,2
65,100010100110000111101011000000000000000000000000,3
66,000000010111101101111010000000000000000000000000,1
67,011010101001000111111011000000000000000000000000,2
68,001111001010011110011011000000000000000000000000,4
69,010100000000101101011011000000000000000000000000,5
70,011100000101011100100111000000001000000000000000,1
71,011100001111100010001000000000000000000000000000,2
72,101110110010000110011010000000000000000000000000,2
73,111101110000111011110000000000000000000000000000,1
74,011101010111011100000010000000000000000000000000,2
75,100111101001100100000111000000000000000000000000,2
76,000011100000101000000100000000000000000000000000,5
77,111101100101010110100001000000000000000000000000,1
78,111100001101000100100001000000000000000000000000,2
79,100001110001100010011111000000000000000000000000,1
80,110100101111010110100111000000000000000000000000,1
81,100000100101011011010100000000000000000000000000,4
82,011110010000111001110111000000000000000000000000,2
83,000000100100011101000101000000000000000000000000,3
84,110110010001100011000001000000000000000000000000,2
85,001110100000111000110100000000000000100000000000,1
86,110000111100111100001100000000000000000000000000,2
87,000111100001110001010010000000000000000000000000,1
88,101011100110101111000101000000000000000000000000,1
89,100101001110001101110111000000000000000000000000,2
90,011011110010001101001100000000000000000000000000,2
91,111100000100001010110010000000000000000000000000,1
92,101111010001001010101111000000000000000000000000,4
93,110100110111000110100010000000000000000000000000,3
94,100111010110100011110101000000000000000000000000,4
95,011001011100011010100011000000000000000000000000,3
96,011011101011010011011010000000000000000000000000,2
97,010100010000110001011101000000000000000000000000,3
98,101101000100010011000000000000000000000000000000,1
99,000100000001010110000101000000000000000000000000,1
100,100101001001010100000001000000000000000000000000,2
101,001010010111100101010000000000000000000000000000,3
102,101001011101010101110000000000000000000000000000,1
103,110010011001100101010000000000000000000000000000,2
104,000100111111011011100101000000010000000100000000,1
105,000001010010010000100001000000000000000000000000,3
106,010010010110100100100000000000000000000000000000,3
107,010011100111001000101100000000000000000000000000,1
108,011110100110110000010110000000000000000000000000,1
109,111101001110000100010101000000000000000000000000,2
110,001000100011000100010011000000100000001000000000,1
111,111110011001100001100001000000000000000000000000,3
112,101000001110011001000110000000000000000000000000,1
113,011001111101001110110100000000000000000000000000,2
114,000111101111111011100000000000010000000000000000,1
115,101011110000001010101101000000000000000000000000,2
116,001111010101100001100101000000000000000000000000,1
117,111000010011001011010011000000000100000000000000,1
118,111111101111101100000101000000000000000000000000,2
119,111001101100010000100010000000000000000000000000,2
120,000111100111011101101001000000000000000000000000,1
121,011101001100101110111111010000000001000000000000,1
122,010100101100101010011000000000000000000000000000,2
123,101001111100101001101101000000000000000000000000,3
124,101011111011100100010110000000000000000000000000,2
125,110000000101001010010010000000010000000000000000,1
126,101001010010000110000100000000000000000000000000,3
127,110110001101101000000010000000000000000000000000,1
128,000000001000010010000100000000000000000000000000,1
129,000000111100011011000101000000000000000000000000,1
130,111110110101000110101010000000000000000000000000,2
131,110101111100110000011011000000000000000000000000,1
132,100010110011101010110001010000000000000000000000,1
133,110010011111000000111001000000000000000000000000,1
134,101010010011011010011111000000000000000000000000,2
135,111001010101110010111001000000000000000000000000,3
136,101011000101100101110101000000000000000000000000,1
137,101101000000111010111010000000000000000000000000,5
138,110000010001010111010110000000000000000000000000,1
139,000000110100101001001001000000000000000000000000,1
140,111010001010001001001010000000000000000000000000,1
141,000011111110000011101111000000000000000000000000,4
142,000101010111100101101100000000000000000000000000,4
143,111011010101101010110111000000000000000000000000,2
