,list_key,list_value
0,100010101010100100100011001000111000001100000000,16
1,011100110011011101000100010001001011111000000000,8
2,100100101001111010001100101101111110110100000000,1
3,110001001001011001010010100011111101111100000000,8
4,010010101001100111010011111000000101111100000000,1
5,000101101001001110000101011110100111111100000000,17
6,010000010111001100110010010101000101101100000000,20
7,101011110011011010011001010111010000110100000000,1
8,000110001011011010101110100111010110011100000000,16
9,000000110000100000001011001110000011001000000000,19
10,011110110111101000000001110011011001100000000000,16
11,110110000000010011011100010101001010000100000000,19
12,000101001011110110101001010101100101011000000000,13
13,001000010101001101110010001101101001001100000000,15
14,010110110000101101010000111010110001000100000000,10
15,001110111110110011010111100000101101011100000000,14
16,111101101000010001110010100111000011100100000000,12
17,011001010010000101000100001100111100100100000000,11
18,101011010110110011000001011110100010111100000000,11
19,101010110101100011110011000111010001001000000000,7
20,001100001100111111011111001100111100110000000000,1
21,011111010101011100101010111000101010001000000000,1
22,010100011101011110000110010010100001101000000000,13
23,111110110111000010001011010001110001100000000000,16
24,101000100001111110111101100011100010010000000001,1
25,100110010001110110000100000011001111011000000000,13
26,111000011101110100111100111100000101101000000000,11
27,100111000011011010101010010101011111111100000000,10
28,101111101110011001011000010110000101011100000000,12
29,111001101110100100001111100001110111011100000000,18
30,011101101111000110000111000111101011000100000000,17
31,101010101101011101111101000010100000101000000000,18
32,011101010010010001010001001001101000100100000000,13
33,101100101000101100111001100100110110100100000000,11
34,011111101111001110001101100111001001001100000000,12
35,101110101101100101100011000101000100101100000000,4
36,110011000010100111100101000010111111101100000000,20
37,011010100100111100100101110010111100010000000000,18
38,000111101100101111010101111101110101110100000000,14
39,000001010100100101001100010111110000010100000000,1
40,010001000101100100011101000011000101001100000000,16
41,000101110111001101100100011001000110101100000000,20
42,101011100011100110010111010010100001111100000000,17
43,001101111011100110001110010000101110011100000000,13
44,000111111110110011110011111000100100011100000000,5
45,000011100100110101000011111010010001011000000000,24
46,100100000000101110011011100110111100010100000000,2
47,111000001111100100011001111001100100001100000000,11
48,000100011110001111110010000011010101011100000000,14
49,001000000001100000111000001010011000011000000000,13
50,101111101010101100010101010100010101000100000000,13
51,010101001101100010001100000101010001101000000000,18
52,011011110010001001001101100100001100101000000000,15
53,011111101111111110000001100100001001000000000000,9
54,110001111110001000100101101111001110011000000000,16
55,000010101011101110110001101000000000010100000000,15
56,000111011100010111011000110010010110110000000000,15
57,010101001001001011000110000110110001111000000000,15
58,101111111100110001110011010000000100111100000000,21
59,011010001101011110111111111010101110101000000000,11
60,100111011010101100110110010000011110000100000000,12
61,110110011000001101011010010010111011101100000000,11
62,010011111011011011111001101111010100011100000000,19
63,101111001100001101111111011101110111111100000000,1
64,001001111010010010000011010111101010000100000000,13
65,110010001000100001000000010000001110101000000000,12
66,001111111110011011011001110010001100011100000000,14
67,101001001100101101101111111001110001110100000000,16
68,101110010111101011000011001011010111100000000000,8
