,circuit_name,type,error_scale,count_accepted,prep_rate,success_rate,ler,total_discard,shots
0,polar_all_meas_n4_x_m,normal,0.1,21343,0.9279565217391305,0.999250339689828,0.0007496603101719845,0.0,23000
1,polar_all_meas_n4_x_m,dynamic,0.1,21096,0.9453730674434238,0.9989571482745544,0.0010428517254456038,0.029782608695652173,22315
2,polar_all_meas_n4_x_m,normal,0.2,19839,0.8625652173913043,0.9977821462775341,0.0022178537224658568,0.0,23000
3,polar_all_meas_n4_x_m,dynamic,0.2,19348,0.8946638305743086,0.9970022741368617,0.0029977258631382897,0.05973913043478261,21626
4,polar_all_meas_n4_x_m,normal,0.3,18396,0.7998260869565217,0.9964122635355512,0.0035877364644487653,0.0,23000
5,polar_all_meas_n4_x_m,dynamic,0.3,17831,0.8512842547503103,0.993774886433739,0.006225113566260987,0.08930434782608695,20946
6,polar_all_meas_n4_x_m,normal,0.4,17074,0.7423478260869565,0.9937917301159658,0.006208269884034223,0.0,23000
7,polar_all_meas_n4_x_m,dynamic,0.4,16437,0.808032641824796,0.9900225101904241,0.009977489809575912,0.11556521739130435,20342
8,polar_all_meas_n4_x_m,normal,0.5,15902,0.6913913043478261,0.989812602188404,0.010187397811596055,0.0,23000
9,polar_all_meas_n4_x_m,dynamic,0.5,15237,0.7718453979028418,0.9854302027958259,0.014569797204174062,0.14169565217391306,19741
10,polar_all_meas_n4_x_m,normal,0.6,14776,0.6424347826086957,0.9869382782891175,0.01306172171088249,0.0,23000
11,polar_all_meas_n4_x_m,dynamic,0.6,14034,0.7330756372753865,0.9789083653983184,0.02109163460168162,0.1676521739130435,19144
12,polar_all_meas_n4_x_m,normal,0.7,13719,0.5964782608695652,0.9832349296595961,0.016765070340403865,0.0,23000
13,polar_all_meas_n4_x_m,dynamic,0.7,12991,0.7014578833693305,0.9735201293202986,0.026479870679701367,0.19478260869565217,18520
14,polar_all_meas_n4_x_m,normal,0.8,12843,0.5583913043478261,0.9775753328661527,0.022424667133847276,0.0,23000
15,polar_all_meas_n4_x_m,dynamic,0.8,12022,0.6668515642334147,0.9668940276160373,0.033105972383962734,0.21617391304347827,18028
16,polar_all_meas_n4_x_m,normal,0.9,11993,0.5214347826086957,0.9739848244809473,0.026015175519052747,0.0,23000
17,polar_all_meas_n4_x_m,dynamic,0.9,11166,0.6364569083447332,0.9604155471968475,0.03958445280315248,0.23721739130434782,17544
18,polar_all_meas_n4_x_m,normal,1.0,11250,0.4891304347826087,0.9687111111111111,0.03128888888888892,0.0,23000
19,polar_all_meas_n4_x_m,dynamic,1.0,10408,0.6128842303615593,0.9513835511145273,0.048616448885472674,0.26165217391304346,16982
20,polar_all_meas_n4_z,normal,0.1,16101,0.8945,0.9994410285075461,0.0005589714924538747,0.0,18000
21,polar_all_meas_n4_z,dynamic,0.1,15951,0.8990024234909542,0.9982446241614946,0.0017553758385053797,0.014277777777777778,17743
22,polar_all_meas_n4_z,normal,0.2,14346,0.797,0.9983270598076118,0.0016729401923881726,0.0,18000
23,polar_all_meas_n4_z,dynamic,0.2,14079,0.807235823633966,0.995454222601037,0.004545777398963002,0.031055555555555555,17441
24,polar_all_meas_n4_z,normal,0.3,12822,0.7123333333333334,0.9973483075963189,0.0026516924036811274,0.0,18000
25,polar_all_meas_n4_z,dynamic,0.3,12498,0.727262147221414,0.9931989118258922,0.00680108817410785,0.04527777777777778,17185
26,polar_all_meas_n4_z,normal,0.4,11533,0.6407222222222222,0.9947975375010838,0.005202462498916205,0.0,18000
27,polar_all_meas_n4_z,dynamic,0.4,11186,0.6609548570077995,0.9881995351332022,0.011800464866797755,0.05977777777777778,16924
28,polar_all_meas_n4_z,normal,0.5,10401,0.5778333333333333,0.9925968656859917,0.007403134314008297,0.0,18000
29,polar_all_meas_n4_z,dynamic,0.5,10074,0.6058091286307054,0.9823307524320032,0.017669247567996815,0.07616666666666666,16629
30,polar_all_meas_n4_z,normal,0.6,9389,0.5216111111111111,0.9909468526999681,0.009053147300031927,0.0,18000
31,polar_all_meas_n4_z,dynamic,0.6,9016,0.5498231491645322,0.974267968056788,0.025732031943212053,0.089,16398
32,polar_all_meas_n4_z,normal,0.7,8492,0.4717777777777778,0.9865756005652379,0.013424399434762146,0.0,18000
33,polar_all_meas_n4_z,dynamic,0.7,8050,0.498729942382752,0.9683229813664597,0.03167701863354033,0.10327777777777777,16141
34,polar_all_meas_n4_z,normal,0.8,7718,0.42877777777777776,0.9831562580979528,0.016843741902047182,0.0,18000
35,polar_all_meas_n4_z,dynamic,0.8,7326,0.4614803149606299,0.961916461916462,0.03808353808353804,0.11805555555555555,15875
36,polar_all_meas_n4_z,normal,0.9,7002,0.389,0.9808626106826621,0.019137389317337883,0.0,18000
37,polar_all_meas_n4_z,dynamic,0.9,6552,0.4186046511627907,0.9536019536019537,0.046398046398046344,0.13044444444444445,15652
38,polar_all_meas_n4_z,normal,1.0,6353,0.35294444444444445,0.9767039194081536,0.023296080591846402,0.0,18000
39,polar_all_meas_n4_z,dynamic,1.0,5932,0.3845954356846473,0.9460552933243426,0.05394470667565743,0.1431111111111111,15424
